검진기관명	전화번호	주소	위암	간암	대장암	유방암	자궁경부암	폐암	구강검진
청라미래치과의원	032-563-2828	인천광역시 서구 청라루비로 99 302호 (경서동)							O
연세센텀치과의원	032-563-2279	인천광역시 서구 봉오재3로 90 한일골드타워 401호 (가정동)							O
행복한가정의학과의원	032-582-3824	인천광역시 서구 고래울로 4 2층 일부호 (가좌동)							
미유치과의원	032-719-7928	"인천광역시 서구 청라커낼로288번길 10 더스페이스타워 401,402호 (청라동)"							O
가정21세기치과의원	032-773-2879	"인천광역시 서구 염곡로498번안길 16-1 퍼스트프라자 301,302호 (가정동)"							O
굿닥터신치과의원	032-563-2575	"인천광역시 서구 염곡로 468 드림타워 405,406호 (가정동)"							O
마리아산부인과의원	032-575-8870	인천광역시 서구 가정로 358 (가정동)				O	O		
데일리치과의원	032-561-9928	인천광역시 서구 서곶로 788 홀리랜드 204~206호 (당하동)							O
김득조내과의원	032-581-9777	"인천광역시 서구 율도로 98 302호 (석남동, 서인빌딩)"	O	O	O				
우수치과의원	032-565-2080	"인천광역시 서구 완정로 172 304,305호 (마전동)"							O
굿드림치과의원	032-272-2828	"인천광역시 서구 가정로 386 3층 (가정동, 신협)"							
가정백세플란트치과의원	032-272-2828	"인천광역시 서구 가정로 386 3층 (가정동, 신협)"							O
검단서유승내과의원	032-568-4588	인천광역시 서구 완정로 153 이레메디칼센타 3층 (왕길동)	O	O	O				
이주영미즈영상의학과의원	032-562-0033	인천광역시 서구 완정로 172 403호 (마전동)				O			
(의)성세의료재단 뉴성민병원	032-726-1000	인천광역시 서구 신석로 70 (석남동) 	O	O	O	O	O	O	
의료법인루가의료재단 나은병원	032-584-0114	인천광역시 서구 원적로 23	O	O	O	O	O	O	O
검단탑병원	032-590-0114	인천광역시 서구 청마로19번길 5 (당하동) 	O	O	O	O	O	O	O
온누리병원	032-567-6200	인천광역시 서구 완정로 199 	O	O	O	O	O	O	
가톨릭관동대학교 국제성모병원	032-1600-8291	인천광역시 서구 심곡로100번길 25-0 인천국제성모병원	O	O	O	O	O	O	O
데일리치과의원	032-561-9928	인천광역시 서구 서곶로 788 홀리랜드 204~206호 (당하동)							O
뉴욕리더스치과의원	032-573-2825	인천광역시 서구 가정로 372 2층 1호 (가정동)							O
연세별치과의원	032-268-2875	"인천광역시 서구 청라커낼로260번길 27 청라한신더휴커낼웨이 247호,249호 (청라동)"							O
연세예쁜미소치과의원	032-710-2879	인천광역시 서구 청라커낼로260번길 11 진성프라자 405호 (청라동)							O
정 의원	032-933-8765	인천광역시 강화군 강화읍 강화대로 395 (준프라자빌딩)							
스마일365치과의원	032-285-2828	"인천광역시 서구 검단로 485 2,3층 (마전동)"							O
청라좋은병원	032-271-0119	"인천광역시 서구 청라에메랄드로 79-0 2층 (청라동,청라커낼에비뉴2~4층)"	O	O	O	O	O		
검단서울여성의원	032-566-1993	인천광역시 서구 청마로19번길 20 (당하동)				O	O		
행복백세내과의원	032-562-7755	"인천광역시 서구 서곶로 281 자혜정형외과 2층일부,4층 (심곡동)"		O					
서울더탑치과의원	032-267-2828	인천광역시 서구 원당대로 663 한종프라자 3층 (마전동)							O
서울이자라는치과의원	032-213-2875	"인천광역시 서구 새오개로111번안길 21 대성프라자 201, 202호 (신현동)"							O
연세튼튼치과의원	032-721-5662	인천광역시 서구 청마로19번길 20 203호 (당하동)							O
더나아산부인과의원	032-567-5732	인천광역시 서구 검단로 480 검단리치웰프라자 5층 (왕길동)				O	O		
연세장튼튼의원	032-565-0815	인천광역시 서구 이음5로 60 JS프라자 (원당동)	O	O	O	O	O		
연세연희치과의원	032-528-2825	인천광역시 서구 승학로 320 (연희동)							O
서울가족치과의원	032-573-2875	"인천광역시 서구 가정로 369 서경 플러스 존 303,305호 (신현동)"							O
검단퍼스트치과의원	032-563-2872	인천광역시 서구 이음5로 80 3층 (원당동)							O
청라사랑내과의원	032-561-5584	"인천광역시 서구 청라커낼로260번길 11 진성프라자 303, 304, 310, 311, 312호 (청라동)"	O	O					
연세앤치과의원	032-561-7522	인천광역시 서구 이음5로 60 JS프라자 506~507호 (원당동)							O
우리베스트내과의원	032-715-6308	인천광역시 서구 염곡로464번길 15 4층 (가정동)	O	O	O	O	O		
검암우리치과의원	032-566-0017	인천광역시 서구 승학로 491 (검암동)							O
청라바른내과의원	032-562-8575	"인천광역시 서구 청라한내로161번길 3-5 2, 3, 4층 (청라동)"	O	O	O	O	O		
삼성센트럴의원	032-716-9930	"인천광역시 서구 원당대로 1045 금호헤리티지7 5~6층 501~513, 608~613호 (원당동)"							
태헬스케어의원	032-716-9930	"인천광역시 서구 원당대로 1045 금호헤리티지7 5~6층 501~513, 608~613호 (원당동) "	O	O	O	O	O		
조성원내과의원	032-565-0771	인천광역시 서구 청마로 163 (당하동)	O	O	O	O	O		
플란치과의원	032-564-7528	"인천광역시 서구 원당대로 1045 금호헤리티지7 301~304,601~607호 (원당동) "							O
서울바로치과의원	032-568-7573	인천광역시 서구 이음대로 378 로뎀타워 304~306호 (원당동)							O
청라행복내과의원	032-569-8000	"인천광역시 서구 중봉대로 588 506,507호 (연희동, 청라센트럴프라자)"	O	O	O	O	O		
리더S탑치과의원	032-257-2828	"인천광역시 서구 가정로 437 301동 310~311호 (가정동, 루원시티 SK Leaders' VIEW)"							O
위바른내과의원	032-561-5570	"인천광역시 서구 이음대로 378 로뎀타워 501~506, 511호 (원당동)"	O	O	O	O	O		
루원성모내과의원	032-575-8276	"인천광역시 서구 가정로 437 301동 B114~115호 (가정동, 루원시티 SK Leaders' VIEW)"	O	O	O				
바라던치과의원	032-561-2828	"인천광역시 서구 청라한내로100번길 24 쓰리엠파크2 3층 306,307호 (청라동)"							O
문내과의원	032-561-7515	"인천광역시 서구 청라한내로72번길 23 301,302호 (청라동)"	O	O	O	O	O		
검암연세내과의원	032-572-5126	인천광역시 서구 승학로483번길 18-8 (검암동)	O	O	O				
청라나눔내과의원	032-567-0750	인천광역시 서구 청라한내로 90 MK뷰 505~9호 (청라동)	O	O	O	O	O		
연세세브란스치과의원	032-298-2828	인천광역시 서구 서곶로 866 강서빌딩 3층 (마전동)							O
삼성플러스유외과의원	032-265-6075	인천광역시 서구 이음대로 388 ABM타워 6층 603~607호 (원당동)				O			
서인천성모의원	032-566-8275	"인천광역시 서구 탁옥로 49 4층 (심곡동, 제스트프라자) "	O	O	O	O	O		
이앤백치과의원	032-562-7528	인천광역시 서구 이음대로 392 메트로시티 4층 407~409호 (원당동)							O
아산큰내과의원	032-563-2770	인천광역시 서구 검단로 469 4~5층 (왕길동)	O	O	O	O	O		
늘치과의원	032-566-2030	"인천광역시 서구 비즈니스로 166 708동 2층 8호 (청라동, 청라국제 업무단지 센텀 대광로제비앙)"							O
퍼스널치과의원	032-265-2828	인천광역시 서구 청라한내로 90 MK뷰  403~4호 (청라동)							O
검단가온치과의원	032-266-2879	인천광역시 서구 완정로178번길 1 검단빌딩 201~202호 (마전동) 							O
이김치과의원	032-561-1021	인천광역시 서구 서곶로 293 (심곡동)							O
피어나치과교정과치과의원	032-568-0502	인천광역시 서구 이음5로 62 정인프라자 4층 401~406호 (원당동)							O
치과로와치과의원	032-562-5475	인천광역시 서구 발산로 6 아인시티 주차타워 306~310호 (원당동)							O
검단이화연합의원	032-277-0705	인천광역시 서구 이음5로 80 검단퍼스트 5층 (원당동)							
연세검단치과의원	032-225-7528	인천광역시 서구 이음대로 388 ABM타워 503~509호 (원당동) 							O
인천맥치과의원	032-565-7928	인천광역시 서구 봉오대로 255 305.306.307.308호 (가정동) 							O
검단이엠365의원	032-568-5011	"인천광역시 서구 이음5로 30 연세프라자9 2,3층 206~214, 305~314호 (원당동) "							
검단센트럴치과의원	032-569-2275	인천광역시 서구 이음대로 479 CS메디칼프라자 2층 201호 (당하동) 							O
든든내과의원	032-564-0102	"인천광역시 서구 이음대로 479 CS메디칼프라자 301, 302호 (당하동) "	O	O	O	O	O		
검단위키즈 병원	032-713-3300	"인천광역시 서구 원당대로 1039 태경타워 3,4층 전체호 (원당동) "							
아인내과의원	032-565-1806	인천광역시 서구 발산로 6 아인시티 주차타워 401 ~ 406호 (원당동) 	O	O	O	O	O		
아라서울여성의원	032-721-7633	인천광역시 서구 원당대로 1045 금호헤리티지7 4층 401~403호 (원당동) 					O		
홍앤장내과의원	032-566-5353	"인천광역시 서구 가정로 406 301~303호 (가정동, 루원지웰시티푸르지오) "	O	O	O	O	O		
청라365클리어 치과의원	032-564-2822	인천광역시 서구 청라에메랄드로 94 인천 청라빌딩 2층 204호 (청라동) 							O
검단다온치과의원	032-569-2875	인천광역시 서구 완정로 54 두영빌딩 2층 202호 (마전동) 							O
루원탑내과의원	032-561-7535	인천광역시 서구 봉오대로 255 루원눈담봄 2층 207~210호 (가정동) 	O	O	O	O	O		
연세조내과의원	032-563-6894	"인천광역시 서구 검단로768번1길 4 2,3층 (불로동, 세인빌딩)"	O	O	O	O	O		
검단조은아이365병원	032-721-8288	"인천광역시 서구 발산로5번길 12 인천검단 엔젤리움1차 윈팰리스 6,7층 (원당동) "							
더바른성모내과의원(The바른성모내과의원)	032-568-8275	인천광역시 서구 이음3로 149 위너스 프라자 5층 (당하동) 	O	O	O	O	O		
검단뉴욕치과의원	032-567-8528	인천광역시 서구 원당대로 1045 금호헤리티지7 4층 404~407호 (원당동) 							O
파랑새플란트 치과의원	032-715-5672	인천광역시 서구 중봉대로 594 청라비전프라자 501~503호 (청라동) 							O
루원퍼스트치과의원	0507-1401-2820	"인천광역시 서구 서곶로 50 2층 A207~A212호 (가정동, 루원시티 대성베르힐 더 센트로) "							O
바른공감치과의원	032-279-2879	"인천광역시 서구 서로3로 104 신화프라자 3층 303,304호 (당하동) "							O
위드치과의원	032-564-2870	"인천광역시 서구 청마로 171 301호 (당하동, 청석빌딩) "							O
검단스마트내과의원	032-566-1199	인천광역시 서구 서로3로 104 신화프라자 4층 401~403호 (당하동) 	O	O	O	O	O		
청라아이비치과의원	032-285-2875	인천광역시 서구 청라한내로 110 204호 (청라동) 							O
서울샤인치과의원	032-563-2842	인천광역시 서구 솔빛로 24 301호 (경서동)							O
루원미소치과교정과 치과의원	032-576-2879	"인천광역시 서구 가정로 406 308, 309호 (가정동, 루원지웰시티푸르지오) "							O
청라좋은병원	032-271-0119	"인천광역시 서구 청라에메랄드로 79 1층 일부층, 2층~4층 (청라동) "	O	O	O				
연세조내과의원	032-563-6894	"인천광역시 서구 검단로768번1길 4 2,3층 (불로동, 세인빌딩) "	O	O	O	O	O		
나아라치과의원	032-287-2828	인천광역시 서구 이음5로 36 더원타워 주건축물제1동 5층 501~503호 (원당동) 							O
대한결핵협회 인천광역시지부 복십자의원	032-868-8921	"인천광역시 서구 원당대로 856 마크포레스트 어반 2층 201, 202 일부호 (당하동) "							
예온치과병원	1551-2870	인천광역시 서구 이음4로 6 KR법조타워 5층 전체호 (당하동) 							O
검단성모산부인과의원	032-561-2070	"인천광역시 서구 이음대로 378 로뎀타워 4층 408,409호 (원당동) "					O		
검단항외과의원	032-565-7500	인천광역시 서구 이음5로 36 4층 401~404호 (원당동) 	O		O				
서울정형외과의원	032-561-1140	"인천광역시 서구 염곡로 468 드림타워 601호,7층,8층 (가정동)"	O	O	O	O	O		O
검단다정의원	032-710-5717	인천광역시 서구 서로3로 198 2층 214~216호 (원당동) 							
검단아라산부인과의원	032-569-7575	인천광역시 서구 이음대로 392 메트로시티 5층 512~515호 (원당동) 				O	O		
이보다구강악안면외과치과의원	032-562-1175	인천광역시 서구 바리미로 17 로데오스퀘어 4층 (원당동) 							O
인천힐링스병원	032-577-2000	인천 서구 석남1동 509-2번지							
이재준내과의원	032-883-6347	인천광역시 중구 축항대로86번길 38 (항동7가)	O	O	O				
신제일산부인과의원	032-751-1119	"인천광역시 중구 신도시남로 137 화평빌딩 4층 401,402호 (운서동) "					O		
우리들정형외과의원	032-772-1393	인천광역시 중구 북성동2가 12-32							
박선희치과의원	032-762-6980	인천광역시 중구 참외전로 134 2층 (인현동)						O	
허형범치과의원	032-765-2828	인천광역시 중구 신포동 16번지 9통1반						O	
선치과의원	032-886-7528	인천광역시 중구 항동7가 76-2 롯데마트 3층						O	
이플란트치과의원	032-746-2804	인천광역시 중구 신도시남로 137 3층 (운서동) 						O	
신흥메디칼의원	032-885-7582	인천광역시 중구 신흥동3가 6-18							
이사랑치과의원	032-751-2875	인천광역시 중구 흰바위로 31 3층 (운서동)						O	
서울외과의원	032-746-7582	인천광역시 중구 운남로 167 2-3층 (운남동)							
신흥메디칼의원	032-885-7582	인천광역시 중구 도원로7번길 11 (신흥동3가)	O		O				
주내과의원	032-751-7582	인천광역시 중구 흰바위로 31 2층 (운서동)							
보스톤미에스테틱치과의원	032-752-7528	"인천광역시 중구 신도시남로141번길 5-8 304호 (운서동,천지인빌딩)"						O	
더웰치과의원	032-886-2875	인천광역시 중구 인항로 34 3층 (신흥동3가)						O	
아이본산부인과의원	032-772-7474	인천광역시 중구 참외전로 160-1 (경동)					O		
연세참가정의학과의원	032-766-0075	인천광역시 중구 우현로 47 4층 (신포동)							
온누리내과의원	032-747-0470	인천광역시 중구 신도시남로 137 2~3층 (운서동)	O	O	O	O	O		
삼성내과의원	032-762-1137	인천광역시 중구 서해대로 476 우정빌딩 1층 (유동)	O	O	O				
영종디지털치과의원	032-752-2879	인천광역시 중구 하늘별빛로 71 타임프라자 202~203호 (중산동)						O	
서울더(THE)좋은치과의원	032-746-9225	인천광역시 중구 하늘별빛로 59 4층 (중산동) 						O	
서울하늘치과의원	032-764-2804	인천광역시 중구 운남로 168 102호(운남동)						O	
편안내과의원	032-747-2236	인천광역시 중구 하늘별빛로 71 4층 (중산동)	O	O	O				
하늘리더스치과의원	032-751-2840	인천광역시 중구 하늘중앙로 193 조양타워 5층 502호 (중산동)						O	
하늘수치과의원	032-752-2875	인천광역시 중구 하늘중앙로195번길 29 3층 (중산동)						O	
하늘도시산부인과의원	032-746-1236	"인천광역시 중구 하늘달빛로 94 스타타워 5층 509,510,511호 (중산동)"					O		
상아플러스치과의원	032-772-2877	인천광역시 중구 우현로 75 3층 (인현동)						O	
영종국제치과의원	032-225-2879	인천광역시 중구 하늘별빛로65번길 7-9 403호 (중산동)						O	
의료법인 성세의료재단 영종국제병원	032-721-3000	"인천광역시 중구 하늘별빛로65번길 7-9 3층 (중산동,스카이타워)"	O	O	O	O	O		
영종시카고치과교정과치과의원	032-215-7528	인천광역시 중구 하늘별빛로65번길 8-11 메이채프라자 301~2호 (중산동)						O	
더(THE)착한치과의원	032-777-2877	"인천광역시 중구 우현로39번길 4-2 1,2층 (신포동) "						O	
운서조은사람치과의원	032-751-2877	인천광역시 중구 흰바위로 37 영종프라자 401호 (운서동)						O	
더본플란트치과의원	032-772-7528	인천광역시 중구 우현로 34 4층 (답동)						O	
영종웰치과의원	032-747-0275	"인천광역시 중구 하늘달빛로 94 대지스타타워 505, 506호 (중산동)"						O	
성모연합의원	032-710-4474	인천광역시 중구 우현로 41 2층 (신포동)							
연세세브란스치과의원	032-237-7575	"인천광역시 중구 우현로 93 빙고,티월드,성신디지털카메라 2,3,4층 (인현동)"						O	
인천웰빙내과의원	032-764-3800	인천광역시 중구 우현로 75 2층 (인현동) 	O	O	O	O	O		
예스서울치과의원	032-7529728	"인천광역시 중구 영종대로 184 402호,403호 일부 (운서동)"						O	
스카이한방병원	032-752-1079	인천광역시 중구 자연대로 47-0 4층 (중산동)	O	O	O	O			
슈어치과교정과치과병원	0507-1322-2891	"인천광역시 중구 하늘중앙로225번길 3-0 301302호 (중산동,영종M타워)"						O	
영종 센트럴 이비인후과의원	032-746-3579	인천광역시 중구 흰바위로 258 5층 (운남동) 							
하늘메디컬의원	032-752-6008	인천광역시 중구 하늘중앙로 193 조양타워 4층 401호 (중산동)	O	O	O	O	O		
장튼튼내과의원	032-752-2388	인천광역시 중구 하늘달빛로 94 스타타워1 301~303호 (중산동)	O	O	O	O	O		
연세공항의원	032-751-6119	"인천광역시 중구 공항로424번길 66 (운서동, 엘지인천공항에클라트 비111호, 비112호 )"	O	O	O				
현대치과의원	032-773-8333	인천광역시 동구 송림로 100 3층 (송림동) 						O	
민영규치과의원	032-884-3483	인천광역시 중구 축항대로86번길 38 (항동7가)						O	
영종센트럴치과의원	032-710-5622	"인천광역시 중구 흰바위로 258 4층 405, 406호"						O	
인천기독병원	032-270-8000	인천광역시 중구 답동로30번길 10 (율목동) 	O	O	O	O	O	O	
디지털타임치과의원	032-777-7579	인천광역시 중구 우현로 93-1 6층						O	
예스율산부인과의원	032-218-1007	인천광역시 중구 영종대로 184 3층 301호					O		
영종속시원내과의원	032-716-9575	인천광역시 중구 하늘중앙로 197 5층 501호 (중산동) 	O	O	O	O	O		
뿌리플란트 치과의원	032-217-0510	"인천광역시 중구 하늘중앙로225번길 11 2층 203,204호 (중산동) "						O	
영종이엠365의원	032-752-1190	인천광역시 중구 하늘달빛로 84 4층 (중산동) 							
인천국제공항의원	032-743-3119	인천광역시 중구 공항로 272 (운서동) 							
인하대학교의과대학부속병원	032-890-2114	인천광역시 중구 인항로 27-0 인하대학병원 	O	O	O	O	O	O	
강화군보건소	032-930-4048	인천광역시 강화군 강화읍 충렬사로 26-1							O
비에스종합병원	032-290-0011	인천광역시 강화군 강화읍 충렬사로 31-0	O	O	O	O	O		O
강화병원	032-930-8146	인천광역시 강화군 강화읍 강화대로312번길  11	O	O	O		O		
남궁내과의원	032-934-2142	인천광역시 강화군 강화읍 강화대로 422	O	O					
인성의원	032-932-4455	인천광역시 강화군 강화읍 중앙로 23  (인성의원)	O	O	O	O			
임성식내과의원	032-932-3375	인천광역시 강화군 강화읍 강화대로 395 (준프라자빌딩)	O	O	O				
에바다의원	032-933-0059	인천광역시 강화군 강화읍 중앙로 25					O		
유여성의원	032-933-6080	인천광역시 강화군 강화읍 강화대로 410					O		
정 의원	032-933-8765	인천광역시 강화군 강화읍 강화대로 395 (준프라자빌딩)							
서울치과의원	032-933-2886	인천광역시 강화군 강화읍 중앙로 43 2층  204호							O
고려치과의원	032-932-2875	인천광역시 강화군 강화읍 동문안길 9-1							O
오치과의원	032-933-2828	인천광역시 강화군 강화읍 강화대로404번길 4							O
이편한치과의원	032-932-2275	인천광역시 강화군 강화읍 강화대로 395  3층							O
온수플러스치과의원	032-937-7504	인천광역시 강화군 길상면 길상로 317							O
강화치과의원	032-934-2804	인천광역시 강화군 강화읍 강화대로404번길  5 6층							O
건플란트치과의원	032-937-2872	인천광역시 강화군 길상면 온수길 23							O
가온자리한방병원	032-272-7500	인천광역시 강화군 불은면 해안동로 464-19							
북도보건지소	032-899-3181	인천광역시 옹진군 북도면 시도로 82							O
연평보건지소	032-899-3182	인천광역시 옹진군 연평면 연평중앙로 24번길 3							O
백령보건지소	032-899-3326	인천광역시 옹진군 백령면 백령로833번길 26-29							O
대청보건지소	032-899-3184	인천광역시 옹진군 대청면 대청로 3 대청보건지소							O
덕적보건지소	032-899-3185	인천광역시 옹진군 덕적면 덕적남로 7-1							O
자월보건지소	032-899-3186	인천광역시 옹진군 자월면 자월서로 164번길 23 자월보건지소							O
영흥보건지소	032-899-3187	인천광역시 옹진군 영흥면 영흥남로 449							O
장봉보건지소	032-899-3589	인천광역시 옹진군 북도면 장봉로 554 장봉보건지소							O
인천광역시 의료원 백령병원	032-836-1733 	인천광역시 옹진군 백령면 백령로 233 	O		O	O	O		O
하나의료조합 영흥우리의원	032-886-9411 	인천광역시 옹진군 영흥면 영흥로176번길 8 영흥늘푸른센터 							
하나의료조합 영흥치과의원	032-887-2872 	인천광역시 옹진군 영흥면 영흥로176번길 8 영흥늘푸른센터 							O
