연번,검진기관명,도로명주소,연락처,일반검진,위암,유방암,대장암,간암,자궁경부암,폐암,구강검진,영유아검진,데이터기준일
30,르네상스치과의원,인천 서구 가좌3동 122-2번지,032-576-7528,,,,,,,,지정,,2024-08-06
31,이튼치과의원,인천광역시 서구 원당대로 865 대산프라자 304호 (원당동),032-564-2242,,,,,,,,지정,,2024-08-06
32,유아이씨세정치과의원,인천광역시 서구 원당대로 866 (당하동),032-569-2828,,,,,,,,지정,,2024-08-06
33,노블치과의원,"인천광역시 서구 완정로 35 201호 (마전동, 대운프라자)",032-569-2804,,,,,,,,지정,,2024-08-06
34,불로치과의원,인천 서구 불로동 375번지 1호 (5층),032-567-8975,,,,,,,,지정,,2024-08-06
35,온누리병원,인천 서구 왕길동 635-1,032-567-6200,지정(지정),지정,지정,지정,지정,지정,,,지정,2024-08-06
36,이앤미치과의원,인천광역시 서구 서곶로 818 (당하동),032-564-2811,,,,,,,,지정,,2024-08-06
37,이정우치과의원,인천광역시 서구 완정로 187 5층 (왕길동),032-562-2875,,,,,,,,지정,,2024-08-06
38,예스치과의원,인천 서구 마전동 검당2지구 24블럭 18롯트,032-565-2204,,,,,,,,지정,,2024-08-06
39,서울현대치과의원,인천광역시 서구 완정로 179 (왕길동),032-563-7528,,,,,,,,지정,,2024-08-06
40,모아치과의원,인천 서구 가좌1동 118번지,032-572-2800,,,,,,,,지정,,2024-08-06
41,한솔치과의원,인천광역시 서구 원적로96번길 26 (가좌동),032-577-2875,,,,,,,,지정,,2024-08-06
42,수서울치과의원,"인천광역시 서구 승학로 567, (검암동)",032-561-2872,,,,,,,,지정,,2024-08-06
43,현치과의원,인천 서구 심곡동  246번지,032-568-2875,,,,,,,,지정,,2024-08-06
44,미추홀치과의원,"인천광역시 서구 검단로 500 701호 (마전동, 플러스빌딩)",032-882-2875,,,,,,,,지정,,2024-08-06
45,정순민치과의원,"인천광역시 서구 가정로 364-1 2층 (가정동, 창대빌딩)",032-575-9701,,,,,,,,지정,,2024-08-06
46,인치과의원,인천광역시 서구 율도로 32-32 (석남동),032-582-2875,,,,,,,,지정,,2024-08-06
47,이사랑부부치과의원,인천 서구 불로동312-2 신명상가 2층,032-567-7528,,,,,,,,지정,,2024-08-06
48,부치과의원,인천광역시 서구 검단로609번길 15 (마전동),032-565-2568,,,,,,,,지정,,2024-08-06
49,보스톤클래식치과의원,인천 서구 마전동 698-4번지,032-561-2875,,,,,,,,지정,,2024-08-06
50,검단탑치과의원,"인천광역시 서구 청마로19번길 5,(당하동)",032-565-2875,,,,,,,,지정,,2024-08-06
51,박윤현치과의원,인천 서구 가좌동 122,032-863-0088,,,,,,,,지정,,2024-08-06
52,오승훈치과의원,인천광역시 서구 가정로 388 (가정동),032-564-3948,,,,,,,,지정,,2024-08-06
53,미소담치과의원,인천광역시 서구 승학로 587 (검암동),032-567-2275,,,,,,,,지정,,2024-08-06
54,연세플러스치과의원,인천광역시 서구 건지로 402 (가좌동),032-573-2275,,,,,,,,지정,,2024-08-06
55,속편안내과의원,"인천광역시 서구 완정로 70 2층 (마전동, 영남탑스빌 웰빙타운)",032-561-6060,지정,지정,,지정,지정,,,,,2024-08-06
56,아이비치과의원,인천광역시 서구 경서로69번길 12 (경서동),032-562-2879,,,,,,,,지정,,2024-08-06
57,연세림치과의원,인천 서구 심곡동 247번지 3호,032-564-2875,,,,,,,,지정,,2024-08-06
58,검단어린이치과의원,"인천광역시 서구 완정로 153 601호 (왕길동, 이레메디칼센타)",032-563-5275,,,,,,,,지정,,2024-08-06
59,엄마와아이들소아청소년과산부인과의원,인천 서구 가정동 504-8,032-572-1771,,,,,,지정,,,,2024-08-06
60,연세조아치과의원,"인천광역시 서구 완정로 36 2,3층 일부호 (마전동, 한성빌딩)",032-567-9975,,,,,,,,지정,,2024-08-06
61,우리미래소아청소년과의원,인천 서구 불로동 월드아파트 중앙상가 220호,032-565-5677,,,,,,,,,지정,2024-08-06
62,이플러스치과의원,인천광역시 서구 이음5로 30 연세프라자9 301~303호 (원당동) ,032-565-7528,,,,,,,,지정,,2024-08-06
63,고영승이비인후과의원,"인천광역시 서구 완정로 179 4층 (왕길동, 검단메디컬프라자)",032-568-7585,,,,,,,,,지정,2024-08-06
64,해맑은소아청소년과의원,"인천광역시 서구 청라라임로 71 405호 (연희동, 진영메디피아)",032-569-7588,,,,,,,,,지정,2024-08-06
65,사과치과의원,"인천광역시 서구 장고개로337번길 16 401동 303~305호 (가좌동, 한신휴플러스단지내상가)",032-576-2804,,,,,,,,지정,,2024-08-06
66,예미담치과의원,"인천광역시 서구 청라라임로 71 진영메디피아 403,404,406호 (청라동)",032-667-2828,,,,,,,,지정,,2024-08-06
67,임내과의원,"인천광역시 서구 가정로 202,(석남동)",032-571-0668,지정,지정,,지정,지정,,,,,2024-08-06
68,오세건치과의원,인천 서구 신현동  283-2,032-577-1838,,,,,,,,지정,,2024-08-06
69,아이비소아청소년과의원,"인천광역시 서구 청라라임로 51 208호 (연희동, 에일린의뜰)",032-473-7575,,,,,,,,,지정,2024-08-06
70,안앤정치과의원,"인천광역시 서구 청라라임로 51 201~203호 (연희동, 청라에일린의뜰)",032-568-2275,,,,,,,,지정,,2024-08-06
71,새하늘치과의원,인천광역시 서구 서달로 151 (석남동),032-584-2022,,,,,,,,지정,,2024-08-06
72,서인천연합치과의원,"인천광역시 서구 서달로149번길 12-11,(석남동)",032-576-5340,,,,,,,,지정,,2024-08-06
73,세계로치과의원,인천광역시 서구 서곶로 543 5층 (검암동),032-562-1700,,,,,,,,지정,,2024-08-06
74,미소담은치과의원,인천광역시 서구 원적로 96 (가좌동),032-578-7528,,,,,,,,지정,,2024-08-06
75,드림라인치과교정과치과의원,"인천광역시 서구 원당대로 660 501호 (당하동, 영프라자)",032-567-2885,,,,,,,,지정,,2024-08-06
76,신현굿모닝치과의원,"인천광역시 서구 석곶로 7-2, 2층 (가정동)",032-578-2842,,,,,,,,지정,,2024-08-06
77,금산부인과의원,인천광역시 서구 승학로 528 (검암동),032-569-0880,,,,,,지정,,,,2024-08-06
78,이사랑부부치과의원,인천광역시 서구 검단로 834 (불로동),032-567-7528,,,,,,,,지정,,2024-08-06
79,행복드림치과의원,인천광역시 서구 청라에메랄드로102번길 8 (연희동),032-567-7082,,,,,,,,지정,,2024-08-06
80,연세가정의학과의원,"인천광역시 서구 단봉로 107 3층 301호 (왕길동, 성우프라자)",032-563-5575,지정,,,,,,,,지정,2024-08-06
81,송앤정치과의원,"인천광역시 서구 단봉로 107,302호 (왕길동, 성우프라자)",032-564-2754,,,,,,,,지정,,2024-08-06
82,인천수내과의원,인천광역시 서구 가정로394번길 1 (가정동),032-584-5599,지정,지정,,,지정,,,,,2024-08-06
83,연세어린이치과의원,"인천광역시 서구 중봉대로 588 401,402호 (연희동, 청라센트럴프라자)",032-572-2875,,,,,,,,지정,,2024-08-06
84,청라탑치과의원,"인천광역시 서구 중봉대로586번길 22 B동 203,204호 (연희동, 청라엑슬루타워상가)",032-567-2804,,,,,,,,지정,,2024-08-06
85,인천연세병원,인천광역시 서구 승학로 320 (연희동),032-561-3457,지정,지정,지정,지정,지정,,,,,2024-08-06
86,하이큐연희내과의원,"인천광역시 서구 서곶로 355-1 2,3,5층 (연희동)",032-568-2220,지정,지정,지정,지정,지정,지정,,,,2024-08-06
87,하이큐홍내과의원,"인천광역시 서구 원적로 100 4층 (가좌동, 가좌로얄프라자)",032-582-5430,지정,지정,지정,지정,지정,지정,,,,2024-08-06
88,연세항외과의원,"인천광역시 서구 검단로 474 뷰비스타운 501~502호, 505~506호 (왕길동)",032-568-2259,지정,지정,,지정,,,,,,2024-08-06
89,양영표내과의원,"인천광역시 서구 가정로 364-1 3층 (가정동, 창대빌딩)",032-576-9164,지정,지정,,,지정,,,,,2024-08-06
90,손태용내과의원,"인천광역시 서구 건지로 264 303,304호 (가좌동)",032-572-0046,지정,,,,지정,,,,,2024-08-06
91,삼성의원,인천광역시 서구 건지로 264 205호 (가좌동),032-575-4535,지정,지정,,,지정,,,,,2024-08-06
92,열린치과의원,"인천광역시 서구 완정로 170 2층 (마전동, 광성빌딩)",032-567-2405,,,,,,,,지정,,2024-08-06
93,행복담은샘치과의원,"인천광역시 서구 검단로 480, 4층 (왕길동)",032-574-2828,,,,,,,,지정,,2024-08-06
94,스마트치과의원,인천광역시 서구 가정로 370 3층 (가정동),032-202-7272,,,,,,,,지정,,2024-08-06
95,마트소아청소년과의원,인천광역시 서구 청라커낼로 252 (경서동),032-568-6977,,,,,,,,,지정,2024-08-06
96,청라건강한내과의원,"인천광역시 서구 청라라임로 71 5층 (청라동, 진영메디피아) ",032-567-8009,지정,지정,지정,지정,지정,지정,,,,2024-08-06
97,파스텔치과의원,"인천광역시 서구 완정로 61 3층 (마전동, 윤성프라자)",032-563-2080,,,,,,,,지정,,2024-08-06
98,타임치과의원,"인천광역시 서구 원당대로 841, (원당동)",032-566-7475,,,,,,,,지정,,2024-08-06
99,이푸른소아청소년과의원,"인천광역시 서구 서곶로 754 3층 (당하동, 검단이마트)",032-566-3094,,,,,,,,,지정,2024-08-06
100,모드니치과의원,"인천광역시 서구 중봉대로 587 지하2층 (경서동, 홈플러스 청라점)",032-568-2735,,,,,,,,지정,,2024-08-06
101,청라리더스치과의원,인천 서구 경서동976-47 (3층),032-563-2875,,,,,,,,지정,,2024-08-06
102,원치과의원,인천광역시 서구 고래울로 4 (가좌동),032-583-0275,,,,,,,,지정,,2024-08-06
103,우리들산부인과의원,"인천광역시 서구 완정로 187 3층 (왕길동, 마전메디칼센타) ",032-562-8228,,,,,,지정,,,,2024-08-06
104,참조은박치과의원,"인천광역시 서구 완정로 31,3층 302호(마전동, 동아프라자 )",032-561-2879,,,,,,,,지정,,2024-08-06
105,이사랑치과의원,인천광역시 서구 길주로 90 2층 (석남동),032-579-9944,,,,,,,,지정,,2024-08-06
106,닥터함치과의원,인천광역시 서구 가정로 374 (가정동),032-575-0075,,,,,,,,지정,,2024-08-06
107,속편한외과의원,인천광역시 서구 탁옥로 45 (심곡동),032-719-8740,지정,지정,,지정,지정,,,,,2024-08-06
108,속편한의원,인천광역시 서구 탁옥로 45 (심곡동),032-719-8740,지정,지정,,지정,지정,,,,,2024-08-06
109,청라오치과의원,"인천광역시 서구 청라라임로 65 403호 (연희동, 라임타워)",032-569-2855,,,,,,,,지정,,2024-08-06
110,가좌연세소아과의원,인천광역시 서구 원적로 100 (가좌동),032-575-5275,,,,,,,,,지정,2024-08-06
111,JS노송병원,"인천광역시 서구 가정로 280 2~5층, 7층 (석남동)",032-516-5000,지정,지정,,지정,지정,,,,,2024-08-06
112,연세권치과의원,"인천광역시 서구 가정로 375 309호 (신현동, 금강아미움)",032-584-2804,,,,,,,,지정,,2024-08-06
113,맑은미소치과의원 (청라),인천광역시 서구 솔빛로 86 2층 (경서동),032-566-2879,,,,,,,,지정,,2024-08-06
114,청라튼튼소아청소년과의원,"인천광역시 서구 솔빛로 24 2층 (경서동, 부영프라자)",032-564-5955,,,,,,,,,지정,2024-08-06
115,서울리더스치과의원,"인천광역시 서구 승학로 497 301,302호 (검암동, 검암프라자)",032-566-1275,,,,,,,,지정,,2024-08-06
116,우리편한내과의원,"인천광역시 서구 가정로 375 405,406호 (신현동, 금강아미움)",032-577-1195,지정,지정,지정,지정,지정,지정,,,,2024-08-06
117,코안이비인후과의원,"인천광역시 서구 서곶로 823 2층 (당하동, 송산프라자1)",032-773-8275,,,,,,,,,지정,2024-08-06
118,서울보스톤치과의원,"인천광역시 서구 건지로 402 (가좌동, 한신휴플러스상가 402동 302,303호)",032-575-2801,,,,,,,,지정,,2024-08-06
119,웰치과의원,인천광역시 서구 심곡로49번길 1 (심곡동),032-567-1410,,,,,,,,지정,,2024-08-06
120,청라이플란트치과의원,인천광역시 서구 중봉대로 602 105호 (연희동),032-715-4587,,,,,,,,지정,,2024-08-06
121,지오웰치과의원,"인천광역시 서구 원당대로 581 2층 (마전동, 롯데마트)",032-568-7528,,,,,,,,지정,,2024-08-06
122,청라여성병원,"인천광역시 서구 중봉대로 602 2~6층,9층 (청라동)",032-716-6000,지정,지정,지정,지정,지정,지정,,,지정,2024-08-06
123,청라여성병원,"인천광역시 서구 중봉대로 602 2~6,9층 (연희동)",032-716-6000,지정,지정,지정,지정,지정,지정,,,지정,2024-08-06
124,권창규소아청소년과의원,"인천광역시 서구 청마로19번길 20 202호 (당하동, 검단서울여성병원빌딩)",032-568-1475,,,,,,,,,지정,2024-08-06
125,강화치과의원,인천광역시 강화군 강화읍 강화대로404번길 5 6층,032-934-2804,,,,,,,,지정,,2024-08-06
126,이승철소아과의원,인천광역시 서구 서달로 159 2층 201호 (석남동),032-583-7523,,,,,,,,,지정,2024-08-06
127,청라아트치과의원,"인천광역시 서구 중봉대로 588 901,902호 (연희동, 청라센트럴프라자)",032-572-2805,,,,,,,,지정,,2024-08-06
128,보아스이비인후과의원,"인천광역시 서구 승학로 497 204호 (검암동, 검암프라자)",032-563-2297,,,,,,,,,지정,2024-08-06
129,연희보스톤치과의원,인천광역시 서구 탁옥로 55 203호 (심곡동),032-562-2825,,,,,,,,지정,,2024-08-06
130,이엔치과의원,인천광역시 서구 가정로 212 5층 (석남동),032-282-2875,,,,,,,,지정,,2024-08-06
131,마전참사랑의원,인천광역시 서구 마전로5번길 22-1 2층 (마전동),032-566-0172,,,,,,,,,지정,2024-08-06
132,사과나무소아청소년과의원,인천광역시 서구 승학로 567 301호 (검암동),032-561-9575,,,,,,,,,지정,2024-08-06
133,가좌성모의원,"인천광역시 서구 장고개로 283 지하1층, 1층 일부호 (가좌동)",032-573-7582,지정,,,,,,,,,2024-08-06
134,다이아치과의원,인천광역시 서구 완정로 70 (마전동),032-565-2204,,,,,,,,지정,,2024-08-06
135,브라이트치과의원,인천광역시 서구 완정로 70 (마전동),032-565-2204,,,,,,,,지정,,2024-08-06
136,닥터케어스치과의원,인천광역시 서구 중봉대로612번길 10-17 청라 타워돔 309호 (연희동),032-566-2080,,,,,,,,지정,,2024-08-06
137,365별소아청소년과의원,"인천광역시 서구 가정로 375 3층 302호 (신현동, 금강아미움)",032-581-9900,,,,,,,,,지정,2024-08-06
138,청라리더스치과의원,인천광역시 서구 솔빛로 82 3층 (경서동),032-563-2875,,,,,,,,지정,,2024-08-06
139,우리미래소아청소년과의원,인천광역시 서구 검단로 836 (불로동),032-565-5677,,,,,,,,,지정,2024-08-06
140,청라꾸러기치과의원,"인천광역시 서구 중봉대로612번길 10-16 502호, 503호, 504호 (연희동, 마르씨엘)",032-267-2875,,,,,,,,지정,,2024-08-06
141,맑은미소치과의원,"인천광역시 서구 봉오재3로 40 2층 201호 (가정동, 가정프라자)",032-567-2879,,,,,,,,지정,,2024-08-06
142,신현윤치과의원,"인천광역시 서구 원창로 174,2층 (신현동)",032-581-2824,,,,,,,,지정,,2024-08-06
143,강남산부인과의원,"인천광역시 서구 검단로 474 405호, 406호 (왕길동, 뷰비스타운)",032-569-3582,,,,,,지정,,,,2024-08-06
144,올바른치과의원,"인천광역시 서구 가정로394번길 1 3층 302호 (가정동, 백천빌딩)",032-575-2879,,,,,,,,지정,,2024-08-06
145,청라치과의원,"인천광역시 서구 크리스탈로74번길 31 503,504,505호 (경서동, 월드프라자)",032-584-2828,,,,,,,,지정,,2024-08-06
146,조은내일치과병원,인천광역시 서구 승학로 250 (심곡동),032-564-3500,,,,,,,,지정,,2024-08-06
147,길벗내과의원,"인천광역시 서구 청라라임로 65 4층 409,410호 (연희동, 라임타워)",032-576-5900,지정,지정,,지정,지정,,,,,2024-08-06
148,김준영치과의원,인천광역시 서구 완정로 160 2층 (마전동),032-562-7575,,,,,,,,지정,,2024-08-06
149,검단나은의원,"인천광역시 서구 검단로 508 3층 (마전동, 이지준프라자)",032-590-5700,지정,지정,지정,지정,지정,지정,,,,2024-08-06
150,다정한내과의원,"인천광역시 서구 크리스탈로74번길 31 월드프라자 403,404,406호 (청라동)",032-562-7511,지정,지정,지정,지정,지정,지정,,,,2024-08-06
151,청라연세어린이병원,"인천광역시 서구 중봉대로612번길 10-16 (청라동, 마르씨엘)",032-590-1500,,,,,,,,,지정,2024-08-06
152,착한마디병원,"인천광역시 서구 완정로 180 2,3,4,5층 (마전동, 동화빌딩)",032-1577-9782,지정,,,,,,,,,2024-08-06
153,가좌우리내과의원,인천광역시 서구 고래울로 29 (가좌동),032-576-8575,지정,,,,,,,,,2024-08-06
154,나은미소치과의원,"인천광역시 서구 검단로 508 401, 402호 (마전동, 이지준프라자)",032-568-2270,,,,,,,,지정,,2024-08-06
155,청라다온치과의원,"인천광역시 서구 청라루비로 93 303, 304호 (경서동, 루비타워)",032-563-2804,,,,,,,,지정,,2024-08-06
156,미래안소아청소년과의원,"인천광역시 서구 검단로 480 510호 (왕길동, 검단리치웰프라자)",032-568-5255,,,,,,,,,지정,2024-08-06
157,두진규치과의원,인천광역시 서구 원적로 100 6층 (가좌동),032-581-1443,,,,,,,,지정,,2024-08-06
158,청라퍼스트치과의원,"인천광역시 서구 청라커낼로 264 504호, 505호 (경서동, 청라두손중앙프라자)",032-575-2875,,,,,,,,지정,,2024-08-06
159,청라우림치과의원,"인천광역시 서구 중봉대로 610 503~504호 (연희동, 마루힐프라자)",032-564-2285,,,,,,,,지정,,2024-08-06
160,강플란트치과의원,"인천광역시 서구 원당대로 660 1001호 (당하동, 영플라자)",032-562-1128,,,,,,,,지정,,2024-08-06
161,참플란트치과의원,인천광역시 서구 가정로308번길 2 302호 (석남동),032-277-7528,,,,,,,,지정,,2024-08-06
162,인천센터치과의원,"인천광역시 서구 가정로 280 노송병원 6층 601 일부호, 602호 (석남동) ",032-577-2870,,,,,,,,지정(지정),,2024-08-06
163,새빛튼튼의원,"인천광역시 서구 고산후로95번길 20 힘찬프라자 301,302호 (당하동)",032-561-8915,,,,,,,,,지정,2024-08-06
164,연세두리소아청소년과의원,"인천광역시 서구 원당대로 859 302호 (원당동, 원당메디칼프라자)",032-562-6069,,,,,,,,,지정,2024-08-06
165,다봄내과의원,"인천광역시 서구 승학로 491 3층 (검암동, 고산빌딩)",032-564-1575,지정,지정,지정,지정,지정,지정,,,,2024-08-06
166,검암우리손내과의원,인천광역시 서구 승학로 498 서해프라자 301~304호 (검암동),032-561-7075,지정,지정,지정,지정,지정,지정,,,,2024-08-06
167,청라국제병원,"인천광역시 서구 청라에메랄드로102번길 8 (청라동, 우성메디피아 2층,4층일부)",032-577-8275,지정,지정,,지정,지정,,,,,2024-08-06
168,굿드림치과의원,"인천광역시 서구 가정로 386 3층 (가정동, 신협)",032-272-2828,,,,,,,,지정,,2024-08-06
169,한결치과의원,"인천광역시 서구 청라에메랄드로 78 301,302호 (연희동)",032-567-2873,,,,,,,,지정,,2024-08-06
170,서곶이좋은치과의원,"인천광역시 서구 서곶로 300 202호 (심곡동, 엄지빌딩)",032-566-1345,,,,,,,,지정,,2024-08-06
171,임성식 내과의원,인천광역시 강화군 강화읍 강화대로 395 준프라자 빌딩 3층,032-932-3375,지정,지정,,지정,지정,,,,,2024-08-06
172,신현승내과의원,"인천광역시 서구 원적로 85 (가좌동, 우신프라자)",032-582-8575,지정,지정,지정,지정,지정,,,,,2024-08-06
173,서울탑프란트치과의원,인천광역시 서구 가정로 379 (신현동),032-574-2754,,,,,,,,지정,,2024-08-06
174,서울미소치과의원,"인천광역시 서구 장고개로337번길 13 10동 2층 1호,2호 (가좌동)",032-205-2828,,,,,,,,지정,,2024-08-06
175,김경현내과의원,"인천광역시 서구 완정로 36 2층 일부호 (마전동, 한성빌딩)",032-564-7515,지정,지정,,지정,지정,,,,,2024-08-06
176,프라임치과의원,"인천광역시 서구 가정로 437 301동 208~209호 (가정동, 루원시티 SK Leaders' VIEW)",032-288-2828,,,,,,,,지정,,2024-08-06
177,그린산부인과의원,인천광역시 서구 건지로 371 (가좌동),032-574-3535,,,지정,,,지정,,,지정,2024-08-06
178,우리탑내과의원,"인천광역시 서구 검단로 480 검단리치웰프라자 206,207호 (왕길동)",032-565-8789,지정,지정,,지정,지정,,,,,2024-08-06
179,서울삼성치과의원,"인천광역시 서구 중봉대로 588 청라센트럴프라자 303,304,305호 (청라동) ",032-567-5755,,,,,,,,지정,,2024-08-06
180,서울원누리치과의원,인천광역시 서구 중봉대로586번길 9-4 쓰리엠타워 407호 (연희동),032-710-7522,,,,,,,,지정,,2024-08-06
181,더바른치과의원,인천광역시 서구 봉오재3로 44 명문프라자 3층 (가정동),032-562-2275,,,,,,,,지정,,2024-08-06
182,인천수내과의원,인천광역시 서구 가정로394번길 1 (가정동),032-584-5599,지정,,,,,,,,,2024-08-06
183,유승진내과의원,인천광역시 서구 봉오재3로 90 한일골드타워 301호 (가정동),032-566-0111,지정,지정,,지정,지정,,,,,2024-08-06
184,청라미래치과의원,인천광역시 서구 청라루비로 99 302호 (경서동),032-563-2828,,,,,,,,지정,,2024-08-06
185,연세센텀치과의원,인천광역시 서구 봉오재3로 90 한일골드타워 401호 (가정동),032-563-2279,,,,,,,,지정,,2024-08-06
186,행복한가정의학과의원,인천광역시 서구 고래울로 4 2층 일부호 (가좌동),032-582-3824,,,,,,,,,지정,2024-08-06
187,미유치과의원,"인천광역시 서구 청라커낼로288번길 10 더스페이스타워 401,402호 (청라동)",032-719-7928,,,,,,,,지정,,2024-08-06
188,사랑소아청소년과의원,인천광역시 서구 새오개로111번안길 31 201호 (신현동),032-572-8277,,,,,,,,,지정,2024-08-06
189,가정21세기치과의원,"인천광역시 서구 염곡로498번안길 16-1 퍼스트프라자 301,302호 (가정동)",032-773-2879,,,,,,,,지정,,2024-08-06
190,굿닥터신치과의원,"인천광역시 서구 염곡로 468 드림타워 405,406호 (가정동)",032-563-2575,,,,,,,,지정,,2024-08-06
191,마리아산부인과의원,인천광역시 서구 가정로 358 (가정동),032-575-8870,지정,,지정,,,지정,,,,2024-08-06
192,아이사랑소아청소년과의원,인천광역시 서구 봉오재3로 40 202호 (가정동),032-561-0279,,,,,,,,,지정,2024-08-06
193,데일리치과의원,인천광역시 서구 서곶로 788 홀리랜드 204~206호 (당하동),032-561-9928,,,,,,,,지정,,2024-08-06
194,김득조내과의원,"인천광역시 서구 율도로 98 302호 (석남동, 서인빌딩)",032-581-9777,지정,지정,,지정,지정,,,,,2024-08-06
195,우수치과의원,"인천광역시 서구 완정로 172 304,305호 (마전동)",032-565-2080,,,,,,,,지정,,2024-08-06
196,굿드림치과의원,"인천광역시 서구 가정로 386 3층 (가정동, 신협)",032-272-2828,,,,,,,,,,2024-08-06
197,가정백세플란트치과의원,"인천광역시 서구 가정로 386 3층 (가정동, 신협)",032-272-2828,,,,,,,,지정,,2024-08-06
198,검단서유승내과의원,인천광역시 서구 완정로 153 이레메디칼센타 3층 (왕길동),032-568-4588,지정,지정,,지정,지정,,,,,2024-08-06
199,킹소아청소년과의원,인천광역시 서구 완정로 172 402호 (마전동),032-568-5119,,,,,,,,,지정,2024-08-06
200,킹소아청소년과의원,인천광역시 서구 완정로 172 402호 (마전동),032-568-5119,,,,,,,,,지정,2024-08-06
201,이주영미즈영상의학과의원,인천광역시 서구 완정로 172 403호 (마전동),032-562-0033,,,지정,,,,,,,2024-08-06
202,(의)성세의료재단 뉴성민병원,인천광역시 서구 신석로 70 (석남동) ,032-726-1000,지정,지정,지정,지정,지정,지정,지정,,,2024-08-06
203,의료법인루가의료재단 나은병원,인천광역시 서구 원적로 23,032-584-0114,지정(지정),지정,지정,지정,지정,지정,지정,지정(지정),지정,2024-08-06
204,검단탑병원,인천광역시 서구 청마로19번길 5 (당하동) ,032-590-0114,지정(지정),지정,지정,지정,지정,지정,지정,지정(지정),지정,2024-08-06
205,온누리병원,인천광역시 서구 완정로 199 ,032-567-6200,지정(지정),지정,지정,지정,지정,지정,지정,,지정,2024-08-06
