연번,지정일자,검진기관명,일반검진,위암,유방암,대장암,간암,자궁경부암,폐암,구강검진,영유아검진,주소,전화번호,데이터기준일자
30,2019-07-04,영종국제치과의원,,,,,,,,지정,,인천광역시 중구 하늘별빛로65번길 7-9 403호 (중산동),032-225-2879,2025-06-10
31,2019-07-19,의료법인 성세의료재단 영종국제병원,지정,지정,지정,지정,지정,지정,,,,"인천광역시 중구 하늘별빛로65번길 7-9 3층 (중산동,스카이타워)",032-721-3000,2025-06-10
32,2019-10-22,영종시카고치과교정과치과의원,,,,,,,,지정,,인천광역시 중구 하늘별빛로65번길 8-11 메이채프라자 301~2호 (중산동),032-215-7528,2025-06-10
33,2019-10-22,키클소아청소년과의원,,,,,,,,,지정,인천광역시 중구 하늘별빛로65번길 8-11 메이채프라자 401~2호 (중산동),032-713-7950,2025-06-10
34,2020-01-07,더(THE)착한치과의원,,,,,,,,지정,,"인천광역시 중구 우현로39번길 4-2 1,2층 (신포동) ",032-777-2877,2025-06-10
35,2020-02-11,운서조은사람치과의원,,,,,,,,지정,,인천광역시 중구 흰바위로 37 영종프라자 401호 (운서동),032-751-2877,2025-06-10
36,2020-03-18,더본플란트치과의원,,,,,,,,지정,,인천광역시 중구 우현로 34 4층 (답동),032-772-7528,2025-06-10
37,2020-07-17,영종웰치과의원,,,,,,,,지정,,"인천광역시 중구 하늘달빛로 94 대지스타타워 505, 506호 (중산동)",032-747-0275,2025-06-10
38,2020-09-29,피터팬소아청소년과의원,,,,,,,,,지정,인천광역시 중구 하늘달빛로 94 408호 (중산동),032-751-0306,2025-06-10
39,2020-12-18,성모연합의원,,,,,,,,,지정,인천광역시 중구 우현로 41 2층 (신포동),032-710-4474,2025-06-10
40,2021-05-24,스타소아청소년과의원,,,,,,,,,지정,인천광역시 중구 자연대로 47 스타타워2 4층 407~410호 (중산동),032-724-9003,2025-06-10
41,2021-06-04,연세세브란스치과의원,,,,,,,,지정,,"인천광역시 중구 우현로 93 빙고,티월드,성신디지털카메라 2,3,4층 (인현동)",032-237-7575,2025-06-10
42,2021-06-24,하늘별빛어린이치과의원,,,,,,,,지정,,인천광역시 중구 자연대로 47 스타타워2 506호 (중산동),032-715-7272,2025-06-10
43,2022-04-25,인천웰빙내과의원,지정,지정,지정,지정,지정,지정,,,,인천광역시 중구 우현로 75 2층 (인현동) ,032-764-3800,2025-06-10
44,2022-05-02,예스서울치과의원,,,,,,,,지정,,"인천광역시 중구 영종대로 184 402호,403호 일부 (운서동)",032-7529728,2025-06-10
45,2022-06-24,스카이한방병원,지정,지정,지정,지정,지정,,,,,인천광역시 중구 자연대로 47-0 4층 (중산동),032-752-1079,2025-06-10
46,2022-08-22,예스삼성소아청소년과의원,,,,,,,,,지정,인천광역시 중구 영종대로 184 영종예스타워복합상영관 4층 401호 (운서동),032-752-9722,2025-06-10
47,2022-09-26,슈어치과교정과치과병원,,,,,,,,지정,,"인천광역시 중구 하늘중앙로225번길 3-0 301302호 (중산동,영종M타워)",,2025-06-10
48,2023-01-11,영종 센트럴 이비인후과의원,,,,,,,,,지정,인천광역시 중구 흰바위로 258 5층 (운남동) ,032-746-3579,2025-06-10
49,2023-04-06,하늘메디컬의원,지정,지정,지정,지정,지정,지정,,,,인천광역시 중구 하늘중앙로 193 조양타워 4층 401호 (중산동),032-752-6008,2025-06-10
50,2023-04-06,장튼튼내과의원,지정,지정,지정,지정,지정,지정,,,,인천광역시 중구 하늘달빛로 94 스타타워1 301~303호 (중산동),032-752-2388,2025-06-10
51,2023-05-08,연세공항의원,지정,지정,,지정,지정,,,,지정,"인천광역시 중구 공항로424번길 66 (운서동, 엘지인천공항에클라트 비111호, 비112호 )",032-751-6119,2025-06-10
52,2024-01-02,현대치과의원,,,,,,,,지정,,인천광역시 동구 송림로 100 3층 (송림동) ,032-773-8333,2025-06-10
53,2024-01-17,민영규치과의원,,,,,,,,지정,,인천광역시 중구 축항대로86번길 38 (항동7가),032-884-3483,2025-06-10
54,2024-04-11,영종센트럴치과의원,,,,,,,,지정,,"인천광역시 중구 흰바위로 258 4층 405, 406호",032-710-5622,2025-06-10
55,2024-04-17,인천기독병원,지정,지정,지정,지정,지정,지정,지정,지정,,인천광역시 중구 답동로30번길 10 (율목동) ,032-270-8000,2025-06-10
56,2024-05-14,디지털타임치과의원,,,,,,,,지정,,인천광역시 중구 우현로 93-1 6층,032-777-7579,2025-06-10
57,2024-05-20,예스율산부인과의원,,,,,,지정,,,,인천광역시 중구 영종대로 184 3층 301호,032-218-1007,2025-06-10
58,2025-01-07,영종속시원내과의원,지정,지정,지정,지정,지정,지정,,,,인천광역시 중구 하늘중앙로 197 5층 501호 (중산동) ,032-716-9575,2025-06-10
59,2025-03-10,뿌리플란트 치과의원,,,,,,,,지정,,"인천광역시 중구 하늘중앙로225번길 11 2층 203,204호 (중산동) ",032-217-0510,2025-06-10
60,2025-03-21,영종이엠365의원,지정,,,,,,,,,인천광역시 중구 하늘달빛로 84 4층 (중산동) ,032-752-1190,2025-06-10
61,2025-04-28,인천국제공항의원,지정,,,,,,,,,인천광역시 중구 공항로 272 (운서동) ,032-743-3119,2025-06-10
62,2025-04-30,인하대학교의과대학부속병원,지정,지정,지정,지정,지정,지정,지정,지정,지정,인천광역시 중구 인항로 27-0 인하대학병원 ,032-890-2114,2025-06-10
,,,,,,,,,,,,,,
