conts_id,conts_ttl,addr,daddr,map_lat,map_lot,telno,conts_sumry,hmpg_addr,crcd_psblty_info,rprs_menu_guid,chdcnr_yn,bsn_hr_guid,packng_psblty_info,parkng_fclt_cn,rsvt_guid,hldy_guid,trtmnt_menu_cn,pet_acmpny_psblty_info,reg_dt
APD22112210025618025,빠레뜨한남 송도센트럴파크점,인천광역시 연수구 센트럴로 160 송도센트럴파크푸르지오,판매시설동 1층,37.392382415600,126.643736960600,,"빠레뜨한남 송도센트럴파크점은 인천 1호선 인천대입구역 4번 출구 송도센트럴파크 옆 컨벤시아대로 송도국제업무단지 인근에 있다. 주차는 매장이 있는 건물 C동 주차장을 이용할 수 있다. 이곳은 데이트 장소로도 좋은 특색 있는 음식들을 맛있게 먹을 수 있는 파스타 맛집이다. 최근에는 여러 방송사 유명 프로그램에서도 소개되었다. 외관부터 내부가 전반적으로 깔끔하고 쾌적하다. 매장 분위기는 전반적으로 파스텔톤이라 산뜻하다. 파스텔톤과 초록 식물의 조합으로 매장 자체가 부드럽다. 테이블마다 메뉴판과 자리 세팅이 기본적으로 되어 있다. 메뉴에는 빠레트 파스타, 들기름 육회 파스타, 감바스 알리오 올리오가 있다. 이외 라구 볼로네제, 우삼겹 덮밥, 통다리 로제 리조또, 오야꼬동, 콥 샐러드 등이 있다. 매장 인근에 송도센트럴파크, 인천상륙작전기념관, 인천시립박물관, 골프장 등이 있어 식사 전후 연계 관광을 할 수 있다.",http://www.빠레뜨한남.com,가능,"빠레트 파스타, 들기름 육회 파스타",0,11:30~21:00(브레이크 타임 15:30~17:00),가능,있음,가능,화요일,"알리오 올리오, 라구 볼로네제, 우삼겹 덮밥, 통다리 로제 리조또, 오야꼬동, 콥 샐러드 등",,2025-10-03 08:30:08.637409000
APD21112609152394111,장수가든,인천광역시 남동구 수현로14번길 13-7,(장수동),37.464050979800,126.750603006600,,인천 남동구 수현마을 전통음식 맛집 거리에 있는 오리백숙 식당이다. <br>1994년부터 한 곳에서 오랫동안 운영해 온 장수 식당이다. 대표메뉴는 누룽지백숙과 능이버섯백숙이다. 2층 단독건물로 주차 시설이 있다. 식당 밖에 야외 테이블도 마련되어 있어 식후에 차를 마시며 휴식할 수 있는 공간이 있다.,,가능,누룽지백숙,0,11:30~21:30 (라스트오더 20:30),,있음,전화예약,화요일,능이누룽지백숙 / 볶음탕 / 능이버섯백숙 / 도토리묵 외,,2025-10-03 08:30:08.637409000
APD21112609202945622,안동국밥&봉평메밀촌,인천광역시 연수구 아트센터대로 107,302동 223호,37.401000769400,126.638628854000,0328323379,인천광역시 연수구에 위치한 한식당이다. 대표메뉴는 국밥이다. 안동 국밥은 소고기 국물 요리로 밥이 들어가 있는 음식이다.,,가능,국밥,0,10:00-21:00,가능,가능,가능,설날당일,국밥 / 비빔막국수,,2025-10-03 08:30:08.637409000
APD21121010001619962,마니산산채,인천광역시 강화군 화도면 해안남로 1182,,37.610950922100,126.456348019500,,"채널A의 <먹거리 X파일>에 착한 식당으로 소개된  화도면의 맛집이다. 마니산에서 캔 몸에 좋은 산나물에 직접 담근 효소를 이용해 담근 장아찌와 수제 된장으로 끓여낸 찌개를 곁들여 먹는 산채비빔밥이 주메뉴다. MSG를 전혀 사용하지 않은 건강밥상이기 때문에 입맛에 따라 호불호가 갈리지만 ‘먹을수록 건강해지는 느낌’의 밥상이란 점은 확실하다. 고풍스러운 식당의 분위기와 잘 어울리는 이 집에서 손님들 대부분은 산채비빔밥을 기본으로 하여 상수리 가루로 만든 도토리묵무침이나 감자전을 곁들인다. 인삼막걸리와 함께 하는 안주로도 손색이 없다. 산채비빔밥을 주문하면 쥐눈이콩샐러드와 콩전이 먼저 나오고 잡곡을 섞은 밥과 함께 12가지 장아찌 반찬과 된장국이 나온다. 당귀, 오가피, 연근, 우무, 더덕, 참외, 산초, 둥굴레, 돼지감자 등을 이용한 효소 장아찌는 20여 가지로 그때그때 계절에 따라 바뀌기도 한다. 항상 마당에서 끓고 있는 개똥쑥풀차나 우엉차가 제공되고 식당 입구에서 유정란, 순무김치, 멸치가루 등도 판매하므로 믿고 구입해도 좋다.",,가능,산채비빔밥,0,- 주중 09:30~20:00 (브레이크타임 14:50~15:30 / 라스트오더 19:30)<br>- 주말 08:30~20:00 (브레이크타임 15:50~16:30 / 라스트오더 19:30),,있음,네이버예약,연중무휴,도토리묵 / 떡갈비 / 감자전 등,,2025-10-03 08:30:08.637409000
APD21112609151543510,한양 한옥마을점,인천광역시 연수구 테크노파크로 180,(송도동),37.390907502100,126.638915218500,,송도센트럴파크의 한옥마을에 입점한 한정식집으로 모임이나 가족 외식장소로 좋은 식당이다. 송도센트럴파크의 멋진 풍광과 더불어 한옥이 주는 특별한 매력으로 식당의 인기가 좋다. 특히 새로 지어진 한옥마을은 편의 시설을 잘 갖춘 데다 식당 내부도 한옥의 멋과 세련됨을 잘 살려 놓았다. 대표 메뉴는 한우 양념불고기 정식과 한우 생불고기 정식이다.,http://www.entas.co.kr/,가능,한우 양념불고기 정식,0,11:30~22:00 (주중 브레이크타임 15:00~17:00),가능,가능,,연중무휴,한우 생불고기 정식 / 생등심 정식 / 한우육회 / 왕갈비탕 등,,2025-10-03 08:30:08.637409000
APD21120810001540417,백합칼국수 송도점,인천광역시 연수구 센트럴로 263,(송도동),37.398109356600,126.633973803000,,"인천지역은 서해가 가까워 새우, 꽃게, 조개 요리 등이 나오는 식당들이 많다. 백합 칼국수 송도점은 큼직한 조개의 여왕이라는 백합과 함께 시원한 국물 맛을 내는 명품 칼국수를 맛볼 수 있는 곳이다. 칼국수에 산낙지 샤부샤부를 먹을 수 있고 해물파전, 양념 새우장과 간장새우장도 백합 칼국수와 함께 먹는 특선 메뉴로 인기가 좋다.",,가능,백합 칼국수,0,11:00~22:00 (주중 브레이크타임 15:00~16:30 / 주말 브레이크타임 16:00~17:00 / 라스트오더 21:00),가능,가능<br>요금 (무료),전화,연중무휴,왕새우 수제비 / 한우1++ 차돌 수제비 등,,2025-10-03 08:30:08.637409000
APD21112609144799191,배터지는게장,인천광역시 남동구 수현로 27,(장수동),37.463231604500,126.749142051500,,"배터지는게장은 인천 남동구 장수동에 위치한 음식점으로 게장을 배가 터지도록 먹을 수 있다는 게장 전문점이다. 메뉴는 특수게장정식과 암게장정식으로 한상 차림 메뉴가 있으며, 게장을 추가로 더 먹을 수 있는 무한리필 메뉴가 있다. 넓은 주차장과 홀을 갖췄다.",,가능,특 암게장정식,0,11:00~21:30,,가능,전화예약,연중무휴,특 숫게장정식 / 왕새우튀김 / 수제돈까스 등,,2025-10-03 08:30:08.637409000
APD25013117560340461,꽃게담다 by 블루베리팜,인천광역시 남동구 찬우물로 21 (수산동),,37.438156224900,126.720073177800,,"연평도산 꽃게만을 사용하는 간장게장 전문점이다. 인천 남동구의 향토음식전문점으로 시작해 블루베리팜 정식, 간장게장 정식, 보리굴비 정식 등이 인기를 끌고 있으며, 인천 지역 곳곳으로 지점을 확장 중이다.",,,간장게장,0,,,있음(5대),,,"블루베리팜 정식, 꽃게담다  정식, 보리굴비 한상 외",,2025-10-03 08:30:08.637409000
APD22040110000685139,커피상회,인천광역시 계양구 성안길 22,,37.580900832900,126.725193724800,,커피상회는 주택을 개조해서 만든 경양식집이다. 수제 양식 요리와 커피로 구성된 세트메뉴로 알차고 푸짐한 식사를 즐길 수 있다.,,가능,함박스테이크,0,09:00~21:00 (라스트오더 20:00),가능,가능,,"매달 1, 3번째 월요일",돈까스 / 토마토파스타 / 훈제연어샐러드 등,,2025-10-03 08:30:08.637409000
APD21112609140306912,송돗골,인천광역시 연수구 앵고개로103번길 15,(동춘동),37.413710738500,126.657612882800,,"연수구 동춘동에 유리로 2층 단독 건물로 된 육개장 전문 식당이다. 널찍한 홀에 깔끔한 식당 내부를 갖췄다. 간판은 육개장 집이지만 이 집은 오리요리 전문점이다. 유황옻오리백숙이 대표 메뉴이며 오리볶음탕, 주물럭과 오리로스구이도 먹을 수 있고 토종옻닭백숙과 닭볶음탕도 있다. 얼큰한 전통육개장은 간편한 식사를 원하는 송돗골 단골들의 특선 메뉴이다.",,가능,전통육개장,0,주중 09:00~21:30<br>주말 07:30~21:30,가능,가능<br>요금 (무료),전화,설·추석 당일,유황오리훈제 / 토종닭백숙 / 토종닭볶음탕 / 삼겹살 등,,2025-10-03 08:30:08.637409000
APD21112609143204490,진복호 신관,인천광역시 강화군 길상면 해안남로 488,,37.597728399000,126.509640732900,,진복호 신관은 강화도 선두 5리 어시장에 있는 생선회 전문 식당 진복호 별관이다. 본관 수용 인원이 44석인 것에 비해 신관은 100석 규모이며 신축 건물답게 넓고 깨끗하다. 선주가 직접 운영하는 식당으로 아버지는 고기를 잡고 아들이 주로 식당을 운영한다. 제철 모둠회와 각종 활어회가 싱싱하고 푸짐하며 단호박 꽃게탕이 유명하다. 아이들을 위한 키즈 영화관과 가족모임을 위한 단체석이 마련되어 있으며 2층엔 카페도 운영 중이다. KBS 2TV 생생정보통 등 다양한 TV 프로그램에 맛집으로 소개되면서 더 많이 사람들이 찾게 됐다. 넓은 주차장은 전기차 충전도 가능하다.,https://www.instagram.com/jinbokho_032/,가능,제철 모둠회,0,일요일~목요일 11:00~20:30<br>금요일~토요일 11:00~21:00,가능,가능,전화문의,연중무휴,게장스시 / 자연치즈조개찜 / 해산물모둠물회 / 버터장어구이 등,,2025-10-03 08:30:08.637409000
APD21112609171873075,토담식당,인천광역시 중구 개항로96번길 13-22,,37.471742466900,126.633893991900,0327721919,"토담식당은 인천의 숨은 맛집이며 간판부터 고전적인 분위기를 풍긴다. 메뉴는 초계탕과 양구이, 토시살 등이 있는데 특히 양구이 맛집으로 유명하다. 양은 예전부터 소화가 잘되고 위에 부담이 없고 단백질이 풍부해 몸이 약한 사람이나 병후 조리식으로 많이 먹었다. 토담식당은 질 좋은 고기만으로 정직하게 장사하는 영업 방침 때문에 단골손님이 많다고 한다.",,가능,초계탕,0,10:00~22:00,,가능 (13대),전화 예약 문의 (032-772-1919),매주 일요일,양 구이 / 토시살 등,,2025-10-03 08:30:08.637409000
APD21112609205087694,등대숯불장어,인천광역시 강화군 길상면 초지로 142,,37.628439126700,126.533243274600,0329370749,대통령 상을 받은 소문난 음식점으로 장어구이와 게장을 전문으로 한다. 초지대교 강화도 쪽 끝나는 부분 바로 옆에 위치하고 있어 초지대교가 한눈에 보이며 전망이 좋다.,,가능,민물장어,0,09:00 ~ 21:00 (20:00 라스트오더),가능(일부 메뉴),가능,전화 예약 가능 (032-937-0749),연중무휴,강화갯벌장어 / 간장게장 외,,2025-10-03 08:30:08.637409000
APD21112609162787758,대하해물탕,인천광역시 부평구 장제로91번길 24-5,,37.494097098400,126.728587509200,0325181175,"해물요리 전문점으로 일반 상차림에 나오는 찬이 새우장, 간장게장으로 꽤 괜찮은 수준이라 구미가 당긴다. 메뉴는 해물탕, 해물찜, 아귀탕 등이 있으며 그중 해물탕의 얼큰하고 칼칼한 국물 맛과 신선한 해물들로 이미 방송에도 여러 차례 소개된 바 있다. 다 먹고 난 후 먹는 볶음밥도 별미이다. 또한, 24시간 영업하여 언제 와도 부담 없이 식사할 수 있다는 장점이 있다.",,가능,해물탕,0,00:00~24:00,가능,가능,전화 예약 문의 (032-518-1175),연중무휴,아귀탕 / 꽃게탕 등,,2025-10-03 08:30:08.637409000
APD21112609140258977,전동삼치,인천광역시 중구 홍예문로68번길 29,,37.476041874000,126.628605466000,0327657792,"인천 중구에 위치한 전동삼치는 2004년 개업부터, 항상 친절한 서비스와 차별화된 맛으로 손님을 대접하는 맛집이다. 정갈한 밑반찬과 담백하고 비린내 없는 삼치구이는 술안주를 하기에도 좋다.",,가능,생선백반,0,11:00~01:00,가능,,전화 예약 문의 (032-765-7792),월 1회 (전화 문의),생선조림백반 / 모듬전 등,,2025-10-03 08:30:08.637409000
APD21112609223959612,고려한방삼계탕,인천광역시 미추홀구 인주대로 404,,37.451037378100,126.681423565000,0324311133,"고려삼계탕의 한방삼계탕에는 무언가 특별한 것이 있다. 주인장의 아버지가 중앙한의원 원장이시라 한의원에서 직접 조제한 약재를 넣어 맛은 물론 건강에도 아주 좋다. 인천광역시 미추홀구 ‘맛있는 집’ 경연 대회 수상업소이며, 이미 구민들에게도 인정받은 음식점이다. 대표적으로 한방삼계탕이 가장 인기이며, 녹두삼계탕, 전기구이, 닭볶음탕도 맛볼 수 있다.",,가능,한방삼계탕,0,10:00~22:00 (라스트오더 21:30),가능(일부 메뉴),가능 (8대),전화 예약 가능 (032-431-1133),설·추석 연휴,삼계탕 / 전기구이 등,,2025-10-03 08:30:08.637409000
APD21121010002505353,고목정쌈밥,인천광역시 중구 용유서로172번길 10,(을왕동),37.448715848900,126.388972544900,,"인천국제공항터미널이 있는 곳 영종도 중구 을왕리 해수욕장 인근에 있는 한정식집이다. 왕산해수욕장과 을왕리, 선녀바위 해수욕장이 가까워 여름 피서객과 서해 섬 관광객들이 찾는 곳이다. 조개구이, 새우구이 등 해산물만 먹다 제육볶음에 한 상 푸짐한 밥을 먹고 싶을 때 들를 수 있는 곳이다. 제육 쌈정식과 삼겹살 정식이 메인 메뉴이며 솥밥도 나온다.",,가능,제육쌈밥정식,0,09:30~20:30 (라스트오더 19:50),가능,가능,전화,연중무휴,삼겹살 / 제육,,2025-10-03 08:30:08.637409000
APD21120110001415250,미들웨이,인천광역시 서구 청라커낼로329번길 9,(청라동),37.537926610300,126.643652371200,,"인천 서구 청라지구에 위치한 미들웨이는 MBC <생방송 오늘저녁>, SBS <생방송 투데이>에 소개되어 더욱 유명해진 테이크아웃 빵집이다. 외관은 소규모의 동네 빵집 느낌으로 내부에 취식 공간이 없고 커피 등 음료는 판매하지 않는다. 잠봉뵈르 맛집으로 알려져 있으며 쑥을 넣어 만든 식빵 ‘쑥식이’가 인기 있고, 제주말차파운드, 잠봉뵈르, 바게트, 크루아상, 까눌레 등 다양한 종류의 빵이 모두 사랑받고 있다. 재고 소진 시 영업을 종료하며, 매주 월요일부터 수요일까지 휴무다.",,가능,잠봉뵈르,0,09:30~19:00 (라스트오더 18:30),가능,가능<br>요금 (무료),전화,"매주 월요일, 화요일, 수요일",모짜렐라 샌드위치 / 바게트 / 아메리카노 등,,2025-10-03 08:30:08.637409000
APD21112609222855582,양산박삼치,인천광역시 중구 홍예문로68번길 28,,37.475816900200,126.628627692900,0327728579,"1994년 개업했으며, 가게 내부는 좁은 편이지만 경험에서 나오는 노하우로 삼치 맛이 일품이다. 인테리어 소품을 주인아저씨가 직접 만들어 달아 이색적인 분위기를 풍긴다.",http://yspsamchi.fordining.kr,가능,삼치구이,0,15:00 ~ 24:00,가능,가능,전화 예약 가능 (032-772-8579),비정기적 휴무 (월 1회),오징어볶음 / 모둠구이 / 제육볶음 외,,2025-10-03 08:30:08.637409000
APD21112710001474955,만정수산,인천광역시 중구 영종순환로339번길 85 (중산동),,37.511591790300,126.543109507400,,"인천 중구 영종도에 위치한 대하 양식장을 겸하고 있는 대하구이 전문식당이다. 직접 양식한 새우만 제공하고 있으며, 왕새우소금구이와 새우튀김이 대표메뉴이다. 또한 새우 머리를 양념하여 튀겨낸 새우 머리 튀김이 이 집의 별미로 인기다. 식당 내부 외 야외에서 식사할 수 있는 장소와 단체석이 마련되어 있다. TV 프로그램 <맛있는 녀석들>, <생방송 투데이> 등 다수 프로그램에 방영되면서 명성을 얻었다.",http://manjeongfish.itrocks.kr/,가능,새우구이,0,8월~11월 09:00~21:00<br>※ 시즌제로 운영되 자세한 사항은 전화 문의,가능,가능 (10대),전화,연중무휴,새우튀김 / 칼국수 / 라면,,2025-10-03 08:30:08.637409000
APD21121010002437370,맘모스회센터,인천광역시 중구 연안부두로33번길 17,(항동7가),37.454918902100,126.604383262200,,"연안부두 회센터 식당이다. TV 프로그램에서 중식 요리사 이연복 셰프의 단골집으로 소개되면서 유명세가 더해졌다. 전복, 산낙지, 가리비, 키조개, 소라, 새우 등 서해안 해산물을 종류별로 먹을 수 있는 한 상 차림이 인기다.",http://xn--28010-4729-1290-sz33dbvfc06boufbw5f4cwaxub.crw.kr/,가능,활어회특대,0,11:00 ~ 22:00,가능,가능 (2시간 무료),전화,"매달 1, 3번째 화요일",활어 / 농어 / 도미 등,,2025-10-03 08:30:08.637409000
APD21112609151598652,차이홍,인천광역시 연수구 센트럴로 123,(송도동),37.388174602800,126.645545245100,,송도 국제업무단지 지구 컨벤시아 신관에 1층에 있는 고급 중식당이다. 레스토랑을 연상시키는 세련된 인테리어에 테이블과 의자가 세팅되어 있다. 식사류는 단품 메뉴부터 코스요리까지 다양하며 대표 메뉴는 유니자장면과 북경식 탕수육이다. 다양한 메뉴를 맛볼 수 있는 코스요리도 인기가 많다. 차이홍에서 사용되는 면은 초록색 면으로 음식의 식감을 돋우어 준다.,,가능,유니자장면,0,11:20~21:30 (주중 브레이크타임 15:00~17:00)<br>라스트오더 21:00,가능,가능,,연중무휴,게살볶음밥 / 북경 탕수육 / 깐풍기 등,,2025-10-03 08:30:08.637409000
APD21112609150971972,학운정,인천광역시 서구 열우물로208번길 12,(가좌동),37.482931003100,126.687561006800,,서해안 대표 음식 간장게장과 꽃게탕 전문 유명 한식집이다. 학운정(現 산나래 간장게장)은 넓은 홀과 야외 테이블도 갖춰져 있어 나들이 외식으로 좋은 식당이다. 다양한 나물과 배추된장국으로 푸짐한 비빔밥에 갈치조림을 함께 먹는 갈치조림과 산채 보리밥도 인기 메뉴이다. 시골집 분위기가 물씬 풍기는 식당의 내 외부 전경으로 식사하는 즐거움을 맛볼 수 있는 곳이다.,,가능,간장게장 정식,0,10:00~20:00,가능,가능,전화,연중무휴,양념게장 / 갈치조림 / 보리굴비 / 산채보리밥 외,,2025-10-03 08:30:08.637409000
APD21121010002418027,짱구네,인천광역시 중구 햇내로안길 18-7,(운서동),37.495426236800,126.499441722000,,을왕리 펜션 마을에 있는 낙지요리 전문 식당이다. 식당 내부 커다란 수족관에 낙지가 가득 들어 있는 싱싱한 산 낙지를 맛볼 수 있는 곳이다. 낙지요리는 낙지전골로 매운맛과 맑은 맛의 ‘빨간 거’와 ‘하얀 거’로 메뉴 이름을 만들었다. 양념장에 팽이버섯과 부추를 듬뿍 넣어 국물이 우러나오면 산 낙지를 넣고 끓인다. 전골을 다 먹고 난 후에 먹는 볶음밥도 인기다.,,가능,빨간 거 낙지전골,0,10:00~22:00,가능,가능,전화,연중무휴,하얀 거 낙지전골 / 산낙지 외,,2025-10-03 08:30:08.637409000
APD21112609180784134,일미민물장어,인천광역시 강화군 선원면 더리미길 2,,37.723863753400,126.512698048200,,"인천광역시 강화군에 위치한 일미민물장어는 신선하고 품질 좋은 민물장어를 제공하는 전문 음식점이다. 이곳은 강화도의 깨끗한 자연에서 자란 민물장어를 사용하여, 고소하고 부드러운 맛을 자랑한다. 장어구이는 소금구이와 양념구이로 나뉘는데 저마다 깊은 맛을 자랑하며 미식가들의 입맛을 사로잡기 바쁘다. 이곳의 장어는 지방이 적고 단백질이 풍부하여 건강에도 좋은 음식으로 잘 알려져 있다. 장어를 먹고 난 후에 나오는 장어죽은 장어의 뼈를 갈아 넣어 만든 것으로 고소하고 소화도 잘 된다.",,가능,장어구이,0,10:00~20:30 (마지막 주문 20:00),가능,가능<br>요금 (무료),,연중무휴,민물장어 / 갯벌장어 등,,2025-10-03 08:30:08.637409000
