연번,시설명,시설종류,시설유형,소재지,위도,경도,입소정원,시설운영,설치일자,전화번호,데이터기준일자
32,해피섬김요양원,노인의료복지시설,노인요양시설,인천광역시 서구 검단로502번길 18,37.6014337400,126.6607088000,24,개인,2020-04-01,032-272-7119,2024-08-01
33,참조은요양원,노인의료복지시설,노인요양시설,인천광역시 서구 신진말로 39,37.4934138100,126.6801731000,21,개인,2020-05-01,032-575-8875,2024-08-01
34,시온의빛 요양원,노인의료복지시설,노인요양시설,인천광역시 서구 원당대로820번1길 13,37.5934942278,126.6913283963,25,개인,2020-06-01,032-561-1107,2024-08-01
35,에덴사랑의집,노인의료복지시설,노인요양시설,인천광역시 서구 고산후로95번길 10,37.5925400951,126.6981268752,29,개인,2020-06-01,032-563-0938,2024-08-01
36,길요양원,노인의료복지시설,노인요양시설,인천광역시 서구 고산후로 190,37.6007018300,126.6990615000,20,개인,2020-07-01,032-566-3315,2024-08-01
37,검단햇살요양원,노인의료복지시설,노인요양시설,인천광역시 서구 원당대로 853,37.5940091100,126.6964593000,29,개인,2020-08-01,032-569-3883,2024-08-01
38,검단메디컬요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 179,37.6022797223,126.6565194621,29,개인,2020-09-01,032-568-9992,2024-08-01
39,인혜요양원,노인의료복지시설,노인요양시설,인천광역시 서구 서곶로 270-1,37.5415379579,126.6772411139,49,개인,2020-09-29,032-285-4605,2024-08-01
40,간호사랑요양원,노인의료복지시설,노인요양시설,인천광역시 서구 탁옥로 37,37.5441547200,126.6736678010,47,개인,2020-12-01,032-525-2838,2024-08-01
41,가나요양원,노인의료복지시설,노인요양시설,인천광역시 서구 연희로42번길 14,37.5505741169,126.6724916376,29,개인,2020-12-01,032-566-8877,2024-08-01
42,로뎀애요양원,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로208번길 23,37.5514740572,126.6849521271,29,개인,2020-12-09,032-564-2100,2024-08-01
43,청라더사랑 요양원,노인의료복지시설,노인요양시설,인천광역시 서구 중봉대로586번길 15,37.5321077822,126.6513819622,27,개인,2021-01-01,032-565-2090,2024-08-01
44,푸른솔요양원,노인의료복지시설,노인요양시설,인천광역시 서구 승학로 577,37.5673966730,126.6832305648,28,개인,2021-03-01,032-564-9540,2024-08-01
45,서구삼성요양원,노인의료복지시설,노인요양시설,인천광역시 서구 건지로284번길 5,37.4987249223,126.6738691087,29,개인,2021-04-01,032-579-1010,2024-08-01
46,두드림요양원,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로 78,37.5418666426,126.6782320432,29,개인,2021-07-01,032-563-3388,2024-08-01
47,고은빛요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대촌로 11,37.5950628141,126.6321213092,29,개인,2021-08-01,032-564-0322,2024-08-01
48,굿모닝재활요양원,노인의료복지시설,노인요양시설,인천광역시 서구 원당대로 865,37.5938851437,126.6977602346,42,개인,2021-08-10,032-569-7787,2024-08-01
49,노블레스요양원,노인의료복지시설,노인요양시설,인천광역시 서구 오류로26번길 9,37.5964863915,126.6303039755,75,개인,2021-09-01,032-562-9939,2024-08-01
50,늘사랑요양원,노인의료복지시설,노인요양시설,인천광역시 서구 청라커낼로 280,37.5334076727,126.6449478914,49,개인,2021-09-29,032-565-5633,2024-08-01
51,노엘요양원,노인의료복지시설,노인요양시설,인천광역시 서구 단봉로 191,37.5969780613,126.6305493489,73,개인,2021-10-01,032-563-1006,2024-08-01
52,벧엘요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 144,37.6012214715,126.6602087737,28,개인,2021-11-01,032-569-0723,2024-08-01
53,다솔요양원,노인의료복지시설,노인요양시설,인천광역시 서구 원당대로819번길 7-3,37.5947048286,126.6920652943,49,개인,2021-12-01,032-568-8825,2024-08-01
54,클래상스요양원,노인의료복지시설,노인요양시설,인천광역시 서구 서달로20번길 7,37.5003593500,126.6790363000,94,개인,2021-12-01,032-572-9771,2024-08-01
55,미소인요양원,노인의료복지시설,노인요양시설,인천광역시 서구 서달로 14-7,37.4999976586,126.6788315940,49,개인,2022-01-01,032-575-5007,2024-08-01
56,검단진노인요양시설,노인의료복지시설,노인요양시설,인천광역시 서구 마전로115번길 2-6,37.6085443705,126.6684097886,29,개인,2022-01-01,032-563-5200,2024-08-01
57,한사랑요양원,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로208번길 14,37.5512890950,126.6838106017,42,개인,2022-01-01,032-561-0778,2024-08-01
58,행복드림요양원,노인의료복지시설,노인요양시설,인천광역시 서구 연희로39번길 16,37.5479905162,126.6724598272,41,개인,2022-03-01,032-567-1193,2024-08-01
59,행복요양원,노인의료복지시설,노인요양시설,인천광역시 서구 승학로 577,37.5673966730,126.6832305648,24,개인,2022-03-01,032-566-5009,2024-08-01
60,검암요양원,노인의료복지시설,노인요양시설,인천광역시 서구 승학로 528,37.5656444017,126.6783574173,29,개인,2022-04-01,032-566-3311,2024-08-01
61,늘편한요양원,노인의료복지시설,노인요양시설,인천광역시 서구 도요지로42번길 21-1,37.5571183155,126.6553079868,29,개인,2022-08-01,032-528-8511,2024-08-01
62,드림숲요양원,노인의료복지시설,노인요양시설,인천광역시 서구 단봉로 183,37.5967599786,126.6313526842,49,개인,2022-09-01,032-568-9566,2024-08-01
63,더나은재활요양원,노인의료복지시설,노인요양시설,인천광역시 서구 장고개로 277-1,37.4888945072,126.6825287606,49,개인,2022-10-07,032-573-0999,2024-08-01
64,검단 다은요양원,노인의료복지시설,노인요양시설,인천광역시 서구 고산후로95번길 28,37.5927103692,126.6959806043,18,개인,2022-10-07,032-566-6617,2024-08-01
65,샬롬요양원,노인의료복지시설,노인요양시설,인천광역시 서구 검단로 474,37.6016408300,126.6571073000,29,개인,2022-11-10,032-566-1009,2024-08-01
66,온누리노인요양원,노인의료복지시설,노인요양시설,인천광역시 서구 고산로45번길 18,37.5974041700,126.6997176000,44,개인,2022-11-10,032-569-0591,2024-08-01
67,다정요양원,노인의료복지시설,노인요양시설,인천광역시 서구 고산후로95번안길 21,37.5928929600,126.6972606000,29,개인,2023-01-01,032-568-6060,2024-08-01
68,가현재활요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 70,37.5980110544,126.6673173505,28,개인,2023-02-15,032-569-7620,2024-08-01
69,해오름재활요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 70,37.5980110544,126.6673173505,28,개인,2023-02-15,032-569-7619,2024-08-01
70,사랑재활요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 70,37.5980110544,126.6673173505,28,개인,2023-02-15,032-569-7621,2024-08-01
71,노인요양시설 혜움,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로56번길 17,37.5406251386,126.6759835340,49,개인,2023-03-10,032-565-0306,2024-08-01
72,두담노인전문요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대촌로 9,37.5948965386,126.6320748368,29,법인,2023-02-10,032-565-6599,2024-08-01
73,이레행복요양원,노인의료복지시설,노인요양시설,인천광역시 서구 경서로32번길 3-8,37.5558856259,126.6547081866,29,개인,2023-02-15,032-566-2118,2024-08-01
74,모니카요양원,노인의료복지시설,노인요양시설,인천광역시 서구 연희로42번길 6,37.5497274715,126.6725635801,45,개인,2023-06-05,032-563-8250,2024-08-01
75,인천요양원,노인의료복지시설,노인요양시설,인천광역시 서구 장고개로 262,37.4877365500,126.6812626000,71,개인,2023-06-05,032-710-1371,2024-08-01
76,온마음요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 159,37.6015395214,126.6584302107,28,개인,2023-06-07,032-566-8654,2024-08-01
77,시온휴요양원,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로 53,37.5423057864,126.6756626006,90,개인,2023-07-07,032-564-2211,2024-08-01
78,소나무요양원,노인의료복지시설,노인요양시설,인천광역시 서구 고산후로121번길 25,37.5946322200,126.6964511000,29,개인,2023-06-09,032-321-3520,2024-08-01
79,가현산재활요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 411,37.6311693324,126.6506640699,99,개인,2023-06-13,032-261-8800,2024-08-01
80,다인실버타운요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 415,37.6313980694,126.6502423961,99,개인,2023-06-13,032-204-3686,2024-08-01
81,라포레실버요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 413,37.6316363653,126.6509094279,99,개인,2023-06-14,032-207-7977,2024-08-01
82,검단품안에요양원,노인의료복지시설,노인요양시설,인천광역시 서구 검단로623번길 13,37.6098551523,126.6692207396,29,개인,2023-07-06,032-272-9988,2024-08-01
83,동국휴요양원,노인의료복지시설,노인요양시설,인천광역시 서구 검단로 505,37.6033062100,126.6601901000,29,개인,2023-08-09,032-716-6677,2024-08-01
84,새빛요양원,노인의료복지시설,노인요양시설,인천광역시 서구 원당대로 865,37.5938851437,126.6977602346,26,개인,2023-09-04,032-565-3538,2024-08-01
85,더편한 요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 153,37.6013699174,126.6588218987,27,개인,2023-09-08,032-564-4222,2024-08-01
86,환영간호전문요양원,노인의료복지시설,노인요양시설,인천광역시 서구 경서로56번길 15-5,37.5580387458,126.6552379912,29,개인,2024-01-10,032-565-2672,2024-08-01
87,효나무의료복지요양원,노인의료복지시설,노인요양시설,인천광역시 서구 검단로 508,37.6029363800,126.6606683000,0,개인,2024-03-08,032-583-9988,2024-08-01
88,가족사랑요양원,노인의료복지시설,노인요양시설,인천광역시 서구 신석로112번길 24,37.5077407474,126.6741449884,24,개인,2024-05-01,032-577-0450,2024-08-01
89,보람요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 144,37.6012214715,126.6602087737,15,개인,2024-04-01,032-563-8371,2024-08-01
90,메디홈요양원,노인의료복지시설,노인요양시설,인천광역시 서구 청라에메랄드로 78,37.5321224553,126.6568223402,27,개인,2024-04-05,032-569-4900,2024-08-01
91,검단요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로 144,37.6012214715,126.6602087737,14,개인,2024-05-01,070-7636-9988,2024-08-01
92,검단봄요양원,노인의료복지시설,노인요양시설,인천광역시 서구 고산후로95번길 28,37.5927103692,126.6959806043,39,개인,2024-06-01,032-561-0017,2024-08-01
93,그라테스요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 397-1,37.6302201490,126.6530482380,29,개인,2024-06-01,032-201-1561,2024-08-01
94,검단우리요양원,노인의료복지시설,노인요양시설,인천광역시 서구 고산후로95번길 28,37.5927103692,126.6959806043,26,개인,2024-06-01,032-561-8366,2024-08-01
95,아름다운인생프리미엄 요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 397-3,37.6298261462,126.6523228166,29,개인,2024-06-01,032-201-5678,2024-08-01
96,대곡실버요양원,노인의료복지시설,노인요양시설,인천광역시 서구 대곡로 397-2,37.6296536343,126.6521123690,29,개인,2024-06-07,032-261-3030,2024-08-01
97,검단힘찬요양원,노인의료복지시설,노인요양시설,인천광역시 서구 원당대로 853,37.5940091100,126.6964593000,29,개인,2024-07-01,032-262-3288,2024-08-01
98,굿모닝요양원,노인의료복지시설,노인요양시설,인천광역시 서구 건지로334번길 3,37.4977737347,126.6792001517,49,개인,2024-07-01,032-584-2126,2024-08-01
99,월드실버타운 요양원,노인의료복지시설,노인요양시설,인천광역시 서구 서달로149번길 6-8,37.5124367000,126.6782976000,29,개인,2024-07-01,,2024-08-01
100,복지콜노인요양공동생활가정,노인의료복지시설,노인요양공동생활가정,인천광역시 서구 완정로64번길 12,37.5972933568,126.6685765621,9,개인,2012-07-10,032-565-3129,2024-08-01
101,새생명요양원,노인의료복지시설,노인요양공동생활가정,인천광역시 서구 완정로 179,37.6022797223,126.6565194621,9,개인,2020-09-01,032-721-7507,2024-08-01
102,믿음요양원,노인의료복지시설,노인요양공동생활가정,인천광역시 서구 가정로 302,37.5117209264,126.6728114615,9,개인,2022-11-10,032-582-2223,2024-08-01
103,소망요양원,노인의료복지시설,노인요양공동생활가정,인천광역시 서구 가정로 302,37.5117209264,126.6728114615,9,개인,2022-11-10,032-582-2223,2024-08-01
104,사랑 요양원,노인의료복지시설,노인요양공동생활가정,인천광역시 서구 가정로 302,37.5117209264,126.6728114615,9,개인,2023-09-08,032-715-5200,2024-08-01
105,두드림공동생활가정,노인의료복지시설,노인요양공동생활가정,인천광역시 서구 심곡로 78,37.5418666426,126.6782320432,9,개인,2024-06-10,032-563-3388,2024-08-01
106,태화인천재가노인지원서비스센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 심곡로124번길 10,37.5441540908,126.6826936778,0,법인,2005-07-19,032-568-3206,2024-08-01
107,성광재가노인지원서비스센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로126번길 23,37.4958160200,126.6742572000,0,법인,2007-08-30,032-577-1590,2024-08-01
108,성모재가노인지원서비스센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 탁옥로 105,37.5438641580,126.6814917253,0,법인,2007-12-27,032-569-6796,2024-08-01
109,서구재가노인지원서비스센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 신석로121번길 10,37.5107633611,126.6760543009,17,법인,1999-01-08,032-582-4074,2024-08-01
110,복지콜주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로64번길 12,37.5972933568,126.6685765621,64,개인,2011-05-30,032-565-3129,2024-08-01
111,샬롬재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 고래울로 23-14,37.4873503725,126.6857666126,0,개인,2013-06-10,032-573-5560,2024-08-01
112,샬롬노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로64번길 7,37.5983199608,126.6676221701,0,개인,2017-04-01,032-565-1680,2024-08-01
113,성문노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 고산로40번1길 28,37.5989245645,126.7007712528,16,개인,2017-04-14,032-567-0399,2024-08-01
114,두드림주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 심곡로 78,37.5418666426,126.6782320432,49,개인,2018-07-27,032-563-3388,2024-08-01
115,기억너머주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 도곡로 198,37.6362719834,126.6612694126,43,개인,2018-08-22,032-567-3129,2024-08-01
116,검단보람노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 청마로7번길 15,37.5932132973,126.6722451937,0,개인,2018-10-01,032-569-4666,2024-08-01
117,사랑나눔회 복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 승학로495번길 4-1,37.5659659832,126.6749751983,,개인,2018-11-01,032-562-7945,2024-08-01
118,복지콜노인복지센터주식회사,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로64번길 12,37.5972933568,126.6685765621,0,법인,2019-03-01,032-565-3129,2024-08-01
119,천사노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 고산후로95번길 28,37.5927103692,126.6959806043,0,개인,2019-04-01,032-568-1004,2024-08-01
120,청라성심노인주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 크리스탈로 100,37.5338650493,126.6369273668,51,개인,2019-06-03,032-567-0179,2024-08-01
121,누리주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원당대로 848,37.5933738800,126.6955690000,32,개인,2019-08-16,032-565-0166,2024-08-01
122,다효주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 탁옥로98번길 1,37.5434680005,126.6806948773,48,개인,2019-08-19,032-724-8878,2024-08-01
123,나은 연세데이케어센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 신진말로 36,37.4927314800,126.6796089000,39,개인,2019-08-22,032-573-3179,2024-08-01
124,새빛 노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 건지로 322-1,37.4984206300,126.6777330000,,개인,2019-09-03,032-574-0110,2024-08-01
125,으뜸주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 청마로19번길 21,37.5924600275,126.6727489691,38,개인,2019-09-30,032-564-2207,2024-08-01
126,동행하는재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 검단로487번길 5,37.6029525700,126.6585668000,,개인,2019-10-28,032-500-0000,2024-08-01
127,행복한 노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로 258,37.5078357973,126.6725789187,24,개인,2019-11-11,032-575-7395,2024-08-01
128,초원주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 청라에메랄드로102번길 26,37.5340519485,126.6593146958,58,개인,2019-12-03,032-561-8853,2024-08-01
129,가가요양복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 검단로623번길 9,37.6098445357,126.6697198516,,개인,2019-12-09,032-1877-9975,2024-08-01
130,행복재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 용두산로13번길 3,37.5449222303,126.6714087844,,개인,2019-12-23,032-566-8119,2024-08-01
131,놀터 주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 탁옥로 37,37.5441547200,126.6736678010,27,개인,2020-01-01,032-569-5633,2024-08-01
132,가가호호주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 고산후로95번길 28,37.5927103692,126.6959806043,45,개인,2020-01-01,032-721-8788,2024-08-01
133,행복나눔노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 이화로 27,37.5562116538,126.6704253067,,개인,2020-03-16,032-565-4123,2024-08-01
134,보경사랑노인주간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 검단로502번길 18,37.6014337400,126.6607088000,40,개인,2020-03-14,032-561-2677,2024-08-01
135,행복한재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 검단로 842,37.6186272000,126.6908983000,,개인,2020-03-16,032-562-5502,2024-08-01
136,검암노인주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 승학로 498,37.5651791946,126.6749599408,53,개인,2020-04-01,032-568-9191,2024-08-01
137,청라노인주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 청라에메랄드로102번길 10,37.5339304846,126.6574736635,47,개인,2020-04-01,032-563-7701,2024-08-01
138,가원케어(주),재가노인복지시설,재가노인복지시설,인천광역시 서구 석남로109번길 3,37.5010548625,126.6737524436,,법인,2020-05-07,032-577-5969,2024-08-01
139,샤론재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 건지로318번길 32-1,37.4957929900,126.6770591000,0,개인,2020-06-01,032-573-5055,2024-08-01
140,153재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 검단로 453,37.6012271233,126.6547057459,24,개인,2020-06-01,032-567-1530,2024-08-01
141,인천참사랑병원 부설 햇살데이케어센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원창로240번길 6,37.5168980278,126.6756698893,46,개인,2020-08-01,032-571-9112,2024-08-01
142,가족사랑재가요양센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 길주로 79,37.5067648300,126.6708790000,0,개인,2020-08-01,032-361-2205,2024-08-01
143,이든노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 봉화로69번길 3,37.5994675584,126.6374501846,0,개인,2020-08-01,032-565-8874,2024-08-01
144,그림재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 대평로56번길 32,37.5498867060,126.6711150574,,개인,2020-09-01,032-565-6205,2024-08-01
145,서부노인주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 건지로 389,37.4962101500,126.6847605000,0,개인,2020-09-01,032-573-8114,2024-08-01
146,A천사의방문행복나눔 노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 원당대로820번1길 13,37.5934942278,126.6913283963,,개인,2020-10-01,032-556-7799,2024-08-01
147,희망재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 승학로 244,37.5442538472,126.6728276385,,개인,2020-10-01,032-565-0082,2024-08-01
148,남송재가노인복지센타,재가노인복지시설,재가노인복지시설,인천광역시 서구 원창로 174,37.5175150300,126.6686259000,,개인,2020-10-01,032-575-7997,2024-08-01
149,재가노인복지센터 리하원,재가노인복지시설,재가노인복지시설,인천광역시 서구 청라커낼로260번길 7-15,37.5325982519,126.6461902531,0,법인,2020-10-01,032-563-1337,2024-08-01
150,가정방문재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 면개포로10번길 19,37.5039652747,126.6750584687,,개인,2020-12-01,032-572-2369,2024-08-01
151,샘물재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 거북로 106,37.5029649700,126.6736174000,0,개인,2020-12-01,032-571-0935,2024-08-01
152,감꽃방문요양센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 승학로 198,37.5408517003,126.6731903308,,개인,2020-12-01,032-710-3181,2024-08-01
153,인천노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 건지로249번길 32-4,37.5020342142,126.6702021763,,개인,2021-01-01,070-4647-4786,2024-08-01
154,참조은재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 염곡로 309,37.5122404413,126.6683524150,,개인,2021-01-01,032-573-7752,2024-08-01
155,소망 노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 건지로284번길 4,37.4990441507,126.6734136733,0,개인,2021-02-01,032-571-0112,2024-08-01
156,구립 서구치매전담형주야간보호센터(치매안심돌봄터),재가노인복지시설,재가노인복지시설,인천광역시 서구 봉오재3로94번길 11,37.5268278900,126.6704777000,24,법인,2021-03-01,032-579-9112,2024-08-01
157,향기재가노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 서곶로 816,37.5900652500,126.6743632000,0,개인,2021-03-01,032-263-8927,2024-08-01
158,선영재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로335번길 18,37.5149758800,126.6707362000,0,개인,2021-04-01,032-565-0797,2024-08-01
159,서구노인주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 서곶로 336,37.5474162198,126.6773350417,58,개인,2021-04-01,032-565-3966,2024-08-01
160,가좌의료기,재가노인복지시설,재가노인복지시설,인천광역시 서구 장고개로 265,37.4884398797,126.6816318774,,개인,2021-04-30,032-518-5792,2024-08-01
161,'(A)비지팅엔젤스 인천검단방문요양지점,재가노인복지시설,재가노인복지시설,인천광역시 서구 봉수대로1440번길 45,37.6021859517,126.6535063679,,개인,2021-05-01,032-563-1027,2024-08-01
162,은혜 재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가경주로10번길 13,37.5141479442,126.6749628603,,개인,2021-06-02,032-578-9458,2024-08-01
